# Columns: t (s), T_gam (MeV), T_nue (MeV), T_numu (MeV), mu_nue (MeV), mu_numu (MeV), z
 7.38651707e-03    1.00000000e+01    1.00000000e+01    1.00000000e+01    0.00000000e+00   0.00000000e+00    1.00000000e+00
 7.38756625e-03    9.99929003e+00    9.99928995e+00    9.99928995e+00   -3.00708117e-09  -3.00708117e-09    1.00000001e+00
 7.38861543e-03    9.99858022e+00    9.99858006e+00    9.99858006e+00   -8.93467156e-09  -8.93467156e-09    1.00000002e+00
 7.39071380e-03    9.99716088e+00    9.99716057e+00    9.99716057e+00   -2.64577952e-08  -2.64577952e-08    1.00000003e+00
 7.39281216e-03    9.99574215e+00    9.99574170e+00    9.99574170e+00   -5.49771349e-08  -5.49771349e-08    1.00000005e+00
 7.39491053e-03    9.99432402e+00    9.99432343e+00    9.99432343e+00   -9.38325048e-08  -9.38325048e-08    1.00000006e+00
 7.40824528e-03    9.98532606e+00    9.98532479e+00    9.98532479e+00   -5.46911389e-07  -5.46911389e-07    1.00000016e+00
 7.42158003e-03    9.97635228e+00    9.97635056e+00    9.97635056e+00   -1.26000628e-06  -1.26000628e-06    1.00000024e+00
 7.43491478e-03    9.96740259e+00    9.96740059e+00    9.96740059e+00   -2.13831963e-06  -2.13831963e-06    1.00000032e+00
 7.44824953e-03    9.95847690e+00    9.95847473e+00    9.95847473e+00   -3.11449724e-06  -3.11449724e-06    1.00000039e+00
 7.46541571e-03    9.94702180e+00    9.94701955e+00    9.94701955e+00   -4.43915598e-06  -4.43915598e-06    1.00000048e+00
 7.48258188e-03    9.93560610e+00    9.93560385e+00    9.93560385e+00   -5.77648822e-06  -5.77648822e-06    1.00000057e+00
 7.49974806e-03    9.92422959e+00    9.92422740e+00    9.92422740e+00   -7.08504948e-06  -7.08504948e-06    1.00000065e+00
 7.51691423e-03    9.91289204e+00    9.91288995e+00    9.91288995e+00   -8.33999113e-06  -8.33999113e-06    1.00000073e+00
 7.54066341e-03    9.89727056e+00    9.89726861e+00    9.89726861e+00   -9.96366786e-06  -9.96366786e-06    1.00000083e+00
 7.56441258e-03    9.88172268e+00    9.88172089e+00    9.88172089e+00   -1.14435825e-05  -1.14435825e-05    1.00000094e+00
 7.58816176e-03    9.86624783e+00    9.86624621e+00    9.86624621e+00   -1.27816589e-05  -1.27816589e-05    1.00000104e+00
 7.61191093e-03    9.85084545e+00    9.85084398e+00    9.85084398e+00   -1.39858875e-05  -1.39858875e-05    1.00000115e+00
 7.62976464e-03    9.83931390e+00    9.83931253e+00    9.83931253e+00   -1.48098197e-05  -1.48098197e-05    1.00000122e+00
 7.64761835e-03    9.82782275e+00    9.82782148e+00    9.82782148e+00   -1.55693201e-05  -1.55693201e-05    1.00000130e+00
 7.66547206e-03    9.81637177e+00    9.81637058e+00    9.81637058e+00   -1.62694150e-05  -1.62694150e-05    1.00000138e+00
 7.74085185e-03    9.76846257e+00    9.76846168e+00    9.76846168e+00   -1.86683674e-05  -1.86683674e-05    1.00000169e+00
 7.75969680e-03    9.75659442e+00    9.75659359e+00    9.75659359e+00   -1.91577220e-05  -1.91577220e-05    1.00000177e+00
 7.77854175e-03    9.74476943e+00    9.74476866e+00    9.74476866e+00   -1.96133151e-05  -1.96133151e-05    1.00000185e+00
 7.79738669e-03    9.73298734e+00    9.73298661e+00    9.73298661e+00   -2.00355156e-05  -2.00355156e-05    1.00000193e+00
 7.81623164e-03    9.72124788e+00    9.72124720e+00    9.72124720e+00   -2.04277073e-05  -2.04277073e-05    1.00000201e+00
 7.83866533e-03    9.70732801e+00    9.70732737e+00    9.70732737e+00   -2.08604620e-05  -2.08604620e-05    1.00000210e+00
 7.86109902e-03    9.69346777e+00    9.69346717e+00    9.69346717e+00   -2.12597037e-05  -2.12597037e-05    1.00000220e+00
 7.88353271e-03    9.67966674e+00    9.67966617e+00    9.67966617e+00   -2.16293338e-05  -2.16293338e-05    1.00000229e+00
 7.96319269e-03    9.63113299e+00    9.63113252e+00    9.63113252e+00   -2.27463390e-05  -2.27463390e-05    1.00000262e+00
 8.02553144e-03    9.59365729e+00    9.59365687e+00    9.59365687e+00   -2.34696673e-05  -2.34696673e-05    1.00000288e+00
 8.08787018e-03    9.55661571e+00    9.55661533e+00    9.55661533e+00   -2.40990218e-05  -2.40990218e-05    1.00000314e+00
 8.15020893e-03    9.51999993e+00    9.51999958e+00    9.51999958e+00   -2.46607225e-05  -2.46607225e-05    1.00000340e+00
 8.21254767e-03    9.48380186e+00    9.48380152e+00    9.48380152e+00   -2.51743402e-05  -2.51743402e-05    1.00000366e+00
 8.31533756e-03    9.42500647e+00    9.42500614e+00    9.42500614e+00   -2.59514005e-05  -2.59514005e-05    1.00000408e+00
 8.41812744e-03    9.36729128e+00    9.36729096e+00    9.36729096e+00   -2.66720066e-05  -2.66720066e-05    1.00000451e+00
 8.52091733e-03    9.31062363e+00    9.31062330e+00    9.31062330e+00   -2.73589121e-05  -2.73589121e-05    1.00000493e+00
 8.62370721e-03    9.25497220e+00    9.25497187e+00    9.25497187e+00   -2.80300587e-05  -2.80300587e-05    1.00000536e+00
 8.72649710e-03    9.20030698e+00    9.20030664e+00    9.20030664e+00   -2.86949210e-05  -2.86949210e-05    1.00000579e+00
 8.85336074e-03    9.13415598e+00    9.13415563e+00    9.13415563e+00   -2.95100256e-05  -2.95100256e-05    1.00000631e+00
