#T_gam (MeV)   rate_m/rate_0
5.4954087E-01  8.7152388E-01
5.6234133E-01  8.7700783E-01
5.7543994E-01  8.8229006E-01
5.8884366E-01  8.8735360E-01
6.0255959E-01  8.9222237E-01
6.1659500E-01  8.9688406E-01
6.3095734E-01  9.0135642E-01
6.4565423E-01  9.0565408E-01
6.6069345E-01  9.0976212E-01
6.7608298E-01  9.1370437E-01
6.9183097E-01  9.1747893E-01
7.0794578E-01  9.2110015E-01
7.2443596E-01  9.2457411E-01
7.4131024E-01  9.2789714E-01
7.5857758E-01  9.3107474E-01
7.7624712E-01  9.3411669E-01
7.9432823E-01  9.3702539E-01
8.1283052E-01  9.3981185E-01
8.3176377E-01  9.4248300E-01
8.5113804E-01  9.4503569E-01
8.7096359E-01  9.4748351E-01
8.9125094E-01  9.4982425E-01
9.1201084E-01  9.5206242E-01
9.3325430E-01  9.5420324E-01
9.5499259E-01  9.5625139E-01
9.7723722E-01  9.5820736E-01
1.0000000E+00  9.6008039E-01
1.0232930E+00  9.6187525E-01
1.0471285E+00  9.6358845E-01
1.0715193E+00  9.6522674E-01
1.0964782E+00  9.6679083E-01
1.1220185E+00  9.6828759E-01
1.1481536E+00  9.6972507E-01
1.1748976E+00  9.7108843E-01
1.2022644E+00  9.7240003E-01
1.2302688E+00  9.7364850E-01
1.2589254E+00  9.7485407E-01
1.2882496E+00  9.7598466E-01
1.3182567E+00  9.7707507E-01
1.3489629E+00  9.7812021E-01
1.3803843E+00  9.7911587E-01
1.4125375E+00  9.8007052E-01
1.4454398E+00  9.8097861E-01
1.4791084E+00  9.8184762E-01
1.5135612E+00  9.8267916E-01
1.5488166E+00  9.8347557E-01
1.5848932E+00  9.8423168E-01
1.6218101E+00  9.8495811E-01
1.6595869E+00  9.8565152E-01
1.6982437E+00  9.8631166E-01
1.7378008E+00  9.8693765E-01
1.7782794E+00  9.8753815E-01
1.8197009E+00  9.8812340E-01
1.8620871E+00  9.8867522E-01
1.9054607E+00  9.8920360E-01
1.9498446E+00  9.8970751E-01
1.9952623E+00  9.9018743E-01
2.0417379E+00  9.9064472E-01
2.0892961E+00  9.9107710E-01
2.1379621E+00  9.9150374E-01
2.1877616E+00  9.9190385E-01
2.2387211E+00  9.9228771E-01
2.2908677E+00  9.9265047E-01
2.3442288E+00  9.9299872E-01
2.3988329E+00  9.9333206E-01
2.4547089E+00  9.9365020E-01
2.5118864E+00  9.9395441E-01
2.5703958E+00  9.9424217E-01
2.6302680E+00  9.9451913E-01
2.6915348E+00  9.9478585E-01
2.7542287E+00  9.9503588E-01
2.8183829E+00  9.9527717E-01
2.8840315E+00  9.9550967E-01
2.9512092E+00  9.9572814E-01
3.0199517E+00  9.9593810E-01
3.0902954E+00  9.9613901E-01
3.1622777E+00  9.9632483E-01
3.2359366E+00  9.9651386E-01
3.3113112E+00  9.9669098E-01
3.3884416E+00  9.9685813E-01
3.4673685E+00  9.9700973E-01
3.5481339E+00  9.9716826E-01
3.6307805E+00  9.9730780E-01
3.7153523E+00  9.9744493E-01
3.8018940E+00  9.9757764E-01
3.8904514E+00  9.9773869E-01
3.9810717E+00  9.9783622E-01
4.0738028E+00  9.9795188E-01
4.1686938E+00  9.9805995E-01
4.2657952E+00  9.9815984E-01
4.3651583E+00  9.9826679E-01
4.4668359E+00  9.9836510E-01
4.5708819E+00  9.9844902E-01
4.6773514E+00  9.9854476E-01
4.7863009E+00  9.9862047E-01
4.8977882E+00  9.9870880E-01
5.0118723E+00  9.9877716E-01
5.1286138E+00  9.9885818E-01
5.2480746E+00  9.9892613E-01
5.3703180E+00  9.9899039E-01
5.4954087E+00  9.9905845E-01
5.6234133E+00  9.9911126E-01
5.7543994E+00  9.9916918E-01
5.8884366E+00  9.9923280E-01
6.0255959E+00  9.9928581E-01
6.1659500E+00  9.9932826E-01
6.3095734E+00  9.9938273E-01
6.4565423E+00  9.9943099E-01
6.6069345E+00  9.9947304E-01
6.7608298E+00  9.9951720E-01
6.9183097E+00  9.9955514E-01
7.0794578E+00  9.9959575E-01
7.2443596E+00  9.9963034E-01
7.4131024E+00  9.9966535E-01
7.5857758E+00  9.9970062E-01
