#T_gam (MeV)   rate_m/rate_0
5.4954087E-01  9.7023379E-01
5.6234133E-01  9.7182944E-01
5.7543994E-01  9.7334403E-01
5.8884366E-01  9.7475945E-01
6.0255959E-01  9.7609791E-01
6.1659500E-01  9.7735963E-01
6.3095734E-01  9.7853958E-01
6.4565423E-01  9.7966165E-01
6.6069345E-01  9.8072865E-01
6.7608298E-01  9.8171573E-01
6.9183097E-01  9.8265693E-01
7.0794578E-01  9.8354446E-01
7.2443596E-01  9.8438128E-01
7.4131024E-01  9.8517560E-01
7.5857758E-01  9.8592420E-01
7.7624712E-01  9.8663313E-01
7.9432823E-01  9.8730625E-01
8.1283052E-01  9.8793933E-01
8.3176377E-01  9.8854213E-01
8.5113804E-01  9.8910642E-01
8.7096359E-01  9.8964888E-01
8.9125094E-01  9.9015890E-01
9.1201084E-01  9.9064180E-01
9.3325430E-01  9.9110103E-01
9.5499259E-01  9.9153900E-01
9.7723722E-01  9.9194887E-01
1.0000000E+00  9.9234050E-01
1.0232930E+00  9.9271413E-01
1.0471285E+00  9.9306907E-01
1.0715193E+00  9.9340056E-01
1.0964782E+00  9.9371830E-01
1.1220185E+00  9.9402220E-01
1.1481536E+00  9.9431323E-01
1.1748976E+00  9.9458585E-01
1.2022644E+00  9.9484575E-01
1.2302688E+00  9.9509246E-01
1.2589254E+00  9.9532630E-01
1.2882496E+00  9.9554735E-01
1.3182567E+00  9.9575859E-01
1.3489629E+00  9.9596205E-01
1.3803843E+00  9.9615102E-01
1.4125375E+00  9.9633711E-01
1.4454398E+00  9.9650840E-01
1.4791084E+00  9.9667419E-01
1.5135612E+00  9.9683404E-01
1.5488166E+00  9.9698448E-01
1.5848932E+00  9.9710818E-01
1.6218101E+00  9.9724690E-01
1.6595869E+00  9.9737664E-01
1.6982437E+00  9.9749844E-01
1.7378008E+00  9.9761602E-01
1.7782794E+00  9.9773078E-01
1.8197009E+00  9.9783564E-01
1.8620871E+00  9.9793704E-01
1.9054607E+00  9.9805471E-01
1.9498446E+00  9.9814811E-01
1.9952623E+00  9.9823839E-01
2.0417379E+00  9.9831646E-01
2.0892961E+00  9.9839831E-01
2.1379621E+00  9.9847466E-01
2.1877616E+00  9.9854913E-01
2.2387211E+00  9.9862064E-01
2.2908677E+00  9.9868726E-01
2.3442288E+00  9.9875063E-01
2.3988329E+00  9.9880959E-01
2.4547089E+00  9.9886886E-01
2.5118864E+00  9.9892394E-01
2.5703958E+00  9.9897380E-01
2.6302680E+00  9.9902224E-01
2.6915348E+00  9.9907334E-01
2.7542287E+00  9.9911647E-01
2.8183829E+00  9.9915981E-01
2.8840315E+00  9.9920162E-01
2.9512092E+00  9.9924288E-01
3.0199517E+00  9.9927808E-01
3.0902954E+00  9.9931433E-01
3.1622777E+00  9.9935033E-01
3.2359366E+00  9.9938128E-01
3.3113112E+00  9.9941321E-01
3.3884416E+00  9.9944435E-01
3.4673685E+00  9.9947293E-01
3.5481339E+00  9.9949808E-01
3.6307805E+00  9.9952663E-01
3.7153523E+00  9.9955158E-01
3.8018940E+00  9.9957110E-01
3.8904514E+00  9.9959511E-01
3.9810717E+00  9.9961878E-01
4.0738028E+00  9.9963932E-01
4.1686938E+00  9.9965759E-01
4.2657952E+00  9.9967546E-01
4.3651583E+00  9.9969343E-01
4.4668359E+00  9.9971407E-01
4.5708819E+00  9.9972699E-01
4.6773514E+00  9.9974446E-01
4.7863009E+00  9.9975735E-01
4.8977882E+00  9.9977374E-01
5.0118723E+00  9.9978731E-01
5.1286138E+00  9.9980002E-01
5.2480746E+00  9.9981061E-01
5.3703180E+00  9.9982120E-01
5.4954087E+00  9.9983570E-01
5.6234133E+00  9.9984457E-01
5.7543994E+00  9.9985474E-01
5.8884366E+00  9.9986678E-01
6.0255959E+00  9.9987643E-01
6.1659500E+00  9.9988554E-01
6.3095734E+00  9.9989203E-01
6.4565423E+00  9.9990244E-01
6.6069345E+00  9.9990816E-01
6.7608298E+00  9.9991759E-01
6.9183097E+00  9.9992266E-01
7.0794578E+00  9.9993007E-01
7.2443596E+00  9.9993450E-01
7.4131024E+00  9.9994075E-01
7.5857758E+00  9.9994675E-01
7.7624712E+00  9.9995441E-01
7.9432823E+00  9.9995971E-01
8.1283052E+00  9.9996281E-01
8.3176377E+00  9.9996854E-01
8.5113804E+00  9.9997467E-01
8.7096359E+00  9.9997563E-01
8.9125094E+00  9.9997996E-01
9.1201084E+00  9.9998742E-01
9.3325430E+00  9.9998996E-01
9.5499259E+00  9.9999299E-01
9.7723722E+00  9.9999738E-01
1.0000000E+01  1.0000000E+00
2.0000000E+10  1.0000000E+00
