# entropy density for QED , [dp^{(n)}/dT] = MeV^3 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.04747 with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   dp^{(0)}/dT,   dp^{(2)non-log}/dT,   dp^{(2)log}/dT,   dp^{(3)}/dT,   dp^{(4)}/dT,   dp^{(5)}/dT
 5.197026960119e-03   +1.231436812634e-07   -5.4826e-50   +3.9192e-90   +5.4743e-69   -1.6508e-12   -2.1862e-13
 5.201700197511e-03   +1.234761774932e-07   -5.9973e-50   +4.6766e-90   +6.2488e-69   -1.6552e-12   -2.1921e-13
 5.206377637141e-03   +1.238095714852e-07   -6.5597e-50   +5.5794e-90   +7.1319e-69   -1.6597e-12   -2.1980e-13
 5.211059282789e-03   +1.241438656634e-07   -7.1743e-50   +6.6555e-90   +8.1390e-69   -1.6642e-12   -2.2039e-13
 5.215745138236e-03   +1.244790624584e-07   -7.8458e-50   +7.9379e-90   +9.2870e-69   -1.6687e-12   -2.2099e-13
 5.220435207269e-03   +1.248151643072e-07   -8.5796e-50   +9.4659e-90   +1.0596e-68   -1.6732e-12   -2.2159e-13
 5.225129493675e-03   +1.251521736538e-07   -9.3812e-50   +1.1286e-89   +1.2088e-68   -1.6777e-12   -2.2218e-13
 5.229828001247e-03   +1.254900929482e-07   -1.0257e-49   +1.3454e-89   +1.3788e-68   -1.6822e-12   -2.2278e-13
 5.234530733782e-03   +1.258289246475e-07   -1.1213e-49   +1.6037e-89   +1.5725e-68   -1.6868e-12   -2.2339e-13
 5.239237695077e-03   +1.261686712152e-07   -1.2258e-49   +1.9112e-89   +1.7933e-68   -1.6913e-12   -2.2399e-13
 5.243948888936e-03   +1.265093351214e-07   -1.3399e-49   +2.2773e-89   +2.0448e-68   -1.6959e-12   -2.2459e-13
 5.248664319165e-03   +1.268509188432e-07   -1.4646e-49   +2.7130e-89   +2.3313e-68   -1.7005e-12   -2.2520e-13
 5.253383989573e-03   +1.271934248640e-07   -1.6006e-49   +3.2317e-89   +2.6576e-68   -1.7050e-12   -2.2581e-13
 5.258107903973e-03   +1.275368556741e-07   -1.7492e-49   +3.8489e-89   +3.0293e-68   -1.7097e-12   -2.2642e-13
 5.262836066181e-03   +1.278812137706e-07   -1.9115e-49   +4.5833e-89   +3.4526e-68   -1.7143e-12   -2.2703e-13
 5.267568480016e-03   +1.282265016571e-07   -2.0886e-49   +5.4569e-89   +3.9345e-68   -1.7189e-12   -2.2764e-13
 5.272305149303e-03   +1.285727218441e-07   -2.2819e-49   +6.4961e-89   +4.4831e-68   -1.7235e-12   -2.2826e-13
 5.277046077867e-03   +1.289198768489e-07   -2.4930e-49   +7.7319e-89   +5.1077e-68   -1.7282e-12   -2.2887e-13
 5.281791269539e-03   +1.292679691956e-07   -2.7233e-49   +9.2014e-89   +5.8185e-68   -1.7329e-12   -2.2949e-13
 5.286540728151e-03   +1.296170014151e-07   -2.9747e-49   +1.0949e-88   +6.6276e-68   -1.7375e-12   -2.3011e-13
 5.291294457542e-03   +1.299669760451e-07   -3.2491e-49   +1.3025e-88   +7.5482e-68   -1.7422e-12   -2.3073e-13
 5.296052461550e-03   +1.303178956301e-07   -3.5485e-49   +1.5493e-88   +8.5957e-68   -1.7469e-12   -2.3135e-13
 5.300814744021e-03   +1.306697627217e-07   -3.8752e-49   +1.8426e-88   +9.7875e-68   -1.7516e-12   -2.3198e-13
 5.305581308801e-03   +1.310225798780e-07   -4.2316e-49   +2.1911e-88   +1.1143e-67   -1.7564e-12   -2.3261e-13
 5.310352159741e-03   +1.313763496645e-07   -4.6205e-49   +2.6051e-88   +1.2685e-67   -1.7611e-12   -2.3323e-13
 5.315127300695e-03   +1.317310746532e-07   -5.0447e-49   +3.0969e-88   +1.4439e-67   -1.7659e-12   -2.3386e-13
 5.319906735520e-03   +1.320867574232e-07   -5.5074e-49   +3.6809e-88   +1.6433e-67   -1.7706e-12   -2.3450e-13
 5.324690468079e-03   +1.324434005607e-07   -6.0120e-49   +4.3743e-88   +1.8700e-67   -1.7754e-12   -2.3513e-13
 5.329478502235e-03   +1.328010066586e-07   -6.5625e-49   +5.1976e-88   +2.1278e-67   -1.7802e-12   -2.3576e-13
 5.334270841856e-03   +1.331595783171e-07   -7.1627e-49   +6.1748e-88   +2.4209e-67   -1.7850e-12   -2.3640e-13
 5.339067490815e-03   +1.335191181432e-07   -7.8173e-49   +7.3347e-88   +2.7539e-67   -1.7898e-12   -2.3704e-13
 5.343868452985e-03   +1.338796287511e-07   -8.5310e-49   +8.7111e-88   +3.1325e-67   -1.7947e-12   -2.3768e-13
 5.348673732246e-03   +1.342411127618e-07   -9.3091e-49   +1.0344e-87   +3.5626e-67   -1.7995e-12   -2.3832e-13
 5.353483332480e-03   +1.346035728037e-07   -1.0157e-48   +1.2281e-87   +4.0514e-67   -1.8044e-12   -2.3896e-13
 5.358297257571e-03   +1.349670115122e-07   -1.1082e-48   +1.4579e-87   +4.6067e-67   -1.8092e-12   -2.3961e-13
 5.363115511410e-03   +1.353314315296e-07   -1.2090e-48   +1.7305e-87   +5.2374e-67   -1.8141e-12   -2.4026e-13
 5.367938097888e-03   +1.356968355056e-07   -1.3189e-48   +2.0536e-87   +5.9539e-67   -1.8190e-12   -2.4090e-13
 5.372765020901e-03   +1.360632260969e-07   -1.4387e-48   +2.4367e-87   +6.7676e-67   -1.8239e-12   -2.4155e-13
 5.377596284350e-03   +1.364306059675e-07   -1.5692e-48   +2.8908e-87   +7.6916e-67   -1.8289e-12   -2.4221e-13
 5.382431892136e-03   +1.367989777885e-07   -1.7114e-48   +3.4291e-87   +8.7407e-67   -1.8338e-12   -2.4286e-13
 5.387271848166e-03   +1.371683442382e-07   -1.8663e-48   +4.0669e-87   +9.9318e-67   -1.8388e-12   -2.4352e-13
 5.392116156351e-03   +1.375387080022e-07   -2.0352e-48   +4.8226e-87   +1.1284e-66   -1.8437e-12   -2.4417e-13
 5.396964820604e-03   +1.379100717732e-07   -2.2191e-48   +5.7179e-87   +1.2819e-66   -1.8487e-12   -2.4483e-13
 5.401817844842e-03   +1.382824382515e-07   -2.4195e-48   +6.7784e-87   +1.4560e-66   -1.8537e-12   -2.4549e-13
 5.406675232985e-03   +1.386558101443e-07   -2.6377e-48   +8.0343e-87   +1.6537e-66   -1.8587e-12   -2.4616e-13
 5.411536988957e-03   +1.390301901664e-07   -2.8755e-48   +9.5215e-87   +1.8780e-66   -1.8637e-12   -2.4682e-13
 5.416403116687e-03   +1.394055810397e-07   -3.1344e-48   +1.1282e-86   +2.1324e-66   -1.8688e-12   -2.4749e-13
 5.421273620105e-03   +1.397819854936e-07   -3.4164e-48   +1.3367e-86   +2.4211e-66   -1.8738e-12   -2.4816e-13
 5.426148503146e-03   +1.401594062650e-07   -3.7234e-48   +1.5833e-86   +2.7485e-66   -1.8788e-12   -2.4883e-13
 5.431027769749e-03   +1.405378460978e-07   -4.0578e-48   +1.8753e-86   +3.1198e-66   -1.8839e-12   -2.4950e-13
 5.435911423854e-03   +1.409173077436e-07   -4.4218e-48   +2.2207e-86   +3.5409e-66   -1.8890e-12   -2.5017e-13
 5.440799469407e-03   +1.412977939614e-07   -4.8181e-48   +2.6294e-86   +4.0184e-66   -1.8941e-12   -2.5085e-13
 5.445691910358e-03   +1.416793075177e-07   -5.2496e-48   +3.1127e-86   +4.5597e-66   -1.8992e-12   -2.5152e-13
 5.450588750658e-03   +1.420618511862e-07   -5.7192e-48   +3.6844e-86   +5.1734e-66   -1.9044e-12   -2.5220e-13
 5.455489994264e-03   +1.424454277484e-07   -6.2304e-48   +4.3604e-86   +5.8690e-66   -1.9095e-12   -2.5288e-13
 5.460395645134e-03   +1.428300399931e-07   -6.7868e-48   +5.1597e-86   +6.6573e-66   -1.9147e-12   -2.5357e-13
 5.465305707233e-03   +1.432156907168e-07   -7.3923e-48   +6.1046e-86   +7.5507e-66   -1.9198e-12   -2.5425e-13
 5.470220184526e-03   +1.436023827233e-07   -8.0512e-48   +7.2214e-86   +8.5631e-66   -1.9250e-12   -2.5494e-13
 5.475139080984e-03   +1.439901188244e-07   -8.7682e-48   +8.5412e-86   +9.7100e-66   -1.9302e-12   -2.5563e-13
 5.480062400581e-03   +1.443789018390e-07   -9.5483e-48   +1.0101e-85   +1.1009e-65   -1.9354e-12   -2.5632e-13
 5.484990147294e-03   +1.447687345939e-07   -1.0397e-47   +1.1943e-85   +1.2481e-65   -1.9406e-12   -2.5701e-13
 5.489922325103e-03   +1.451596199235e-07   -1.1320e-47   +1.4120e-85   +1.4148e-65   -1.9459e-12   -2.5770e-13
