# second T derivative of pressure for QED , [d2p^{(n)}/dT2] = MeV^2 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.04747 with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   d2p^{(0)}/dT2,   d2p^{(2)non-log}/dT2,   d2p^{(2)log}/dT2,   d2p^{(3)}/dT2,   d2p^{(4)}/dT2,   d2p^{(5)}/dT2
 5.197026960119e-03   +1.231436812634e-07   -1.0535e-45   +1.4830e-85   +1.5514e-64   -9.5290e-10   -1.2620e-10
 5.201700197511e-03   +1.234761774932e-07   -1.1504e-45   +1.7665e-85   +1.7677e-64   -9.5462e-10   -1.2643e-10
 5.206377637141e-03   +1.238095714852e-07   -1.2560e-45   +2.1037e-85   +2.0139e-64   -9.5634e-10   -1.2665e-10
 5.211059282789e-03   +1.241438656634e-07   -1.3712e-45   +2.5049e-85   +2.2941e-64   -9.5806e-10   -1.2688e-10
 5.215745138236e-03   +1.244790624584e-07   -1.4969e-45   +2.9822e-85   +2.6130e-64   -9.5978e-10   -1.2711e-10
 5.220435207269e-03   +1.248151643072e-07   -1.6340e-45   +3.5499e-85   +2.9759e-64   -9.6151e-10   -1.2734e-10
 5.225129493675e-03   +1.251521736538e-07   -1.7835e-45   +4.2250e-85   +3.3887e-64   -9.6324e-10   -1.2757e-10
 5.229828001247e-03   +1.254900929482e-07   -1.9465e-45   +5.0276e-85   +3.8584e-64   -9.6497e-10   -1.2780e-10
 5.234530733782e-03   +1.258289246475e-07   -2.1242e-45   +5.9818e-85   +4.3927e-64   -9.6671e-10   -1.2803e-10
 5.239237695077e-03   +1.261686712152e-07   -2.3180e-45   +7.1159e-85   +5.0004e-64   -9.6845e-10   -1.2826e-10
 5.243948888936e-03   +1.265093351214e-07   -2.5292e-45   +8.4637e-85   +5.6915e-64   -9.7019e-10   -1.2849e-10
 5.248664319165e-03   +1.268509188432e-07   -2.7595e-45   +1.0065e-84   +6.4773e-64   -9.7193e-10   -1.2872e-10
 5.253383989573e-03   +1.271934248640e-07   -3.0106e-45   +1.1968e-84   +7.3707e-64   -9.7368e-10   -1.2895e-10
 5.258107903973e-03   +1.275368556741e-07   -3.2842e-45   +1.4228e-84   +8.3864e-64   -9.7543e-10   -1.2918e-10
 5.262836066181e-03   +1.278812137706e-07   -3.5824e-45   +1.6912e-84   +9.5409e-64   -9.7719e-10   -1.2941e-10
 5.267568480016e-03   +1.282265016571e-07   -3.9074e-45   +2.0100e-84   +1.0853e-63   -9.7895e-10   -1.2965e-10
 5.272305149303e-03   +1.285727218441e-07   -4.2615e-45   +2.3885e-84   +1.2344e-63   -9.8071e-10   -1.2988e-10
 5.277046077867e-03   +1.289198768489e-07   -4.6473e-45   +2.8377e-84   +1.4039e-63   -9.8247e-10   -1.3011e-10
 5.281791269539e-03   +1.292679691956e-07   -5.0677e-45   +3.3710e-84   +1.5964e-63   -9.8424e-10   -1.3035e-10
 5.286540728151e-03   +1.296170014151e-07   -5.5257e-45   +4.0038e-84   +1.8151e-63   -9.8601e-10   -1.3058e-10
 5.291294457542e-03   +1.299669760451e-07   -6.0246e-45   +4.7548e-84   +2.0635e-63   -9.8779e-10   -1.3082e-10
 5.296052461550e-03   +1.303178956301e-07   -6.5680e-45   +5.6456e-84   +2.3456e-63   -9.8956e-10   -1.3105e-10
 5.300814744021e-03   +1.306697627217e-07   -7.1599e-45   +6.7023e-84   +2.6660e-63   -9.9134e-10   -1.3129e-10
 5.305581308801e-03   +1.310225798780e-07   -7.8045e-45   +7.9556e-84   +3.0299e-63   -9.9313e-10   -1.3152e-10
 5.310352159741e-03   +1.313763496645e-07   -8.5065e-45   +9.4418e-84   +3.4430e-63   -9.9491e-10   -1.3176e-10
 5.315127300695e-03   +1.317310746532e-07   -9.2709e-45   +1.1204e-83   +3.9119e-63   -9.9671e-10   -1.3200e-10
 5.319906735520e-03   +1.320867574232e-07   -1.0103e-44   +1.3293e-83   +4.4442e-63   -9.9850e-10   -1.3224e-10
 5.324690468079e-03   +1.324434005607e-07   -1.1009e-44   +1.5769e-83   +5.0483e-63   -1.0003e-09   -1.3247e-10
 5.329478502235e-03   +1.328010066586e-07   -1.1996e-44   +1.8702e-83   +5.7339e-63   -1.0021e-09   -1.3271e-10
 5.334270841856e-03   +1.331595783171e-07   -1.3070e-44   +2.2179e-83   +6.5118e-63   -1.0039e-09   -1.3295e-10
 5.339067490815e-03   +1.335191181432e-07   -1.4239e-44   +2.6298e-83   +7.3944e-63   -1.0057e-09   -1.3319e-10
 5.343868452985e-03   +1.338796287511e-07   -1.5511e-44   +3.1176e-83   +8.3957e-63   -1.0075e-09   -1.3343e-10
 5.348673732246e-03   +1.342411127618e-07   -1.6896e-44   +3.6955e-83   +9.5314e-63   -1.0093e-09   -1.3367e-10
 5.353483332480e-03   +1.346035728037e-07   -1.8403e-44   +4.3797e-83   +1.0820e-62   -1.0111e-09   -1.3391e-10
 5.358297257571e-03   +1.349670115122e-07   -2.0042e-44   +5.1898e-83   +1.2280e-62   -1.0130e-09   -1.3415e-10
 5.363115511410e-03   +1.353314315296e-07   -2.1827e-44   +6.1488e-83   +1.3937e-62   -1.0148e-09   -1.3439e-10
 5.367938097888e-03   +1.356968355056e-07   -2.3768e-44   +7.2839e-83   +1.5815e-62   -1.0166e-09   -1.3463e-10
 5.372765020901e-03   +1.360632260969e-07   -2.5880e-44   +8.6273e-83   +1.7944e-62   -1.0184e-09   -1.3488e-10
 5.377596284350e-03   +1.364306059675e-07   -2.8177e-44   +1.0217e-82   +2.0357e-62   -1.0203e-09   -1.3512e-10
 5.382431892136e-03   +1.367989777885e-07   -3.0676e-44   +1.2097e-82   +2.3092e-62   -1.0221e-09   -1.3536e-10
 5.387271848166e-03   +1.371683442382e-07   -3.3394e-44   +1.4322e-82   +2.6192e-62   -1.0239e-09   -1.3561e-10
 5.392116156351e-03   +1.375387080022e-07   -3.6350e-44   +1.6953e-82   +2.9704e-62   -1.0258e-09   -1.3585e-10
 5.396964820604e-03   +1.379100717732e-07   -3.9564e-44   +2.0064e-82   +3.3684e-62   -1.0276e-09   -1.3610e-10
 5.401817844842e-03   +1.382824382515e-07   -4.3060e-44   +2.3742e-82   +3.8192e-62   -1.0295e-09   -1.3634e-10
 5.406675232985e-03   +1.386558101443e-07   -4.6861e-44   +2.8090e-82   +4.3299e-62   -1.0313e-09   -1.3658e-10
 5.411536988957e-03   +1.390301901664e-07   -5.0993e-44   +3.3230e-82   +4.9082e-62   -1.0332e-09   -1.3683e-10
 5.416403116687e-03   +1.394055810397e-07   -5.5486e-44   +3.9304e-82   +5.5632e-62   -1.0351e-09   -1.3708e-10
 5.421273620105e-03   +1.397819854936e-07   -6.0370e-44   +4.6482e-82   +6.3049e-62   -1.0369e-09   -1.3732e-10
 5.426148503146e-03   +1.401594062650e-07   -6.5678e-44   +5.4962e-82   +7.1447e-62   -1.0388e-09   -1.3757e-10
 5.431027769749e-03   +1.405378460978e-07   -7.1448e-44   +6.4978e-82   +8.0954e-62   -1.0406e-09   -1.3782e-10
 5.435911423854e-03   +1.409173077436e-07   -7.7720e-44   +7.6809e-82   +9.1715e-62   -1.0425e-09   -1.3807e-10
 5.440799469407e-03   +1.412977939614e-07   -8.4535e-44   +9.0780e-82   +1.0389e-61   -1.0444e-09   -1.3832e-10
 5.445691910358e-03   +1.416793075177e-07   -9.1941e-44   +1.0728e-81   +1.1768e-61   -1.0463e-09   -1.3856e-10
 5.450588750658e-03   +1.420618511862e-07   -9.9988e-44   +1.2675e-81   +1.3328e-61   -1.0482e-09   -1.3881e-10
 5.455489994264e-03   +1.424454277484e-07   -1.0873e-43   +1.4974e-81   +1.5093e-61   -1.0500e-09   -1.3906e-10
 5.460395645134e-03   +1.428300399931e-07   -1.1823e-43   +1.7687e-81   +1.7089e-61   -1.0519e-09   -1.3931e-10
 5.465305707233e-03   +1.432156907168e-07   -1.2855e-43   +2.0888e-81   +1.9348e-61   -1.0538e-09   -1.3956e-10
 5.470220184526e-03   +1.436023827233e-07   -1.3976e-43   +2.4665e-81   +2.1902e-61   -1.0557e-09   -1.3981e-10
 5.475139080984e-03   +1.439901188244e-07   -1.5193e-43   +2.9120e-81   +2.4791e-61   -1.0576e-09   -1.4007e-10
 5.480062400581e-03   +1.443789018390e-07   -1.6515e-43   +3.4376e-81   +2.8058e-61   -1.0595e-09   -1.4032e-10
 5.484990147294e-03   +1.447687345939e-07   -1.7952e-43   +4.0573e-81   +3.1752e-61   -1.0614e-09   -1.4057e-10
 5.489922325103e-03   +1.451596199235e-07   -1.9511e-43   +4.7881e-81   +3.5928e-61   -1.0633e-09   -1.4082e-10
 5.494858937994e-03   +1.455515606699e-07   -2.1204e-43   +5.6496e-81   +4.0649e-61   -1.0653e-09   -1.4108e-10
 5.499799989955e-03   +1.459445596826e-07   -2.3043e-43   +6.6651e-81   +4.5984e-61   -1.0672e-09   -1.4133e-10
 5.504745484977e-03   +1.463386198191e-07   -2.5039e-43   +7.8620e-81   +5.2015e-61   -1.0691e-09   -1.4159e-10
 5.509695427055e-03   +1.467337439445e-07   -2.7206e-43   +9.2725e-81   +5.8829e-61   -1.0710e-09   -1.4184e-10
 5.514649820189e-03   +1.471299349316e-07   -2.9558e-43   +1.0934e-80   +6.6529e-61   -1.0729e-09   -1.4209e-10
 5.519608668380e-03   +1.475271956611e-07   -3.2111e-43   +1.2892e-80   +7.5228e-61   -1.0749e-09   -1.4235e-10
 5.524571975635e-03   +1.479255290213e-07   -3.4882e-43   +1.5198e-80   +8.5055e-61   -1.0768e-09   -1.4261e-10
 5.529539745964e-03   +1.483249379084e-07   -3.7890e-43   +1.7914e-80   +9.6155e-61   -1.0787e-09   -1.4286e-10
 5.534511983379e-03   +1.487254252264e-07   -4.1153e-43   +2.1112e-80   +1.0869e-60   -1.0807e-09   -1.4312e-10
 5.539488691898e-03   +1.491269938871e-07   -4.4694e-43   +2.4877e-80   +1.2285e-60   -1.0826e-09   -1.4338e-10
 5.544469875541e-03   +1.495296468102e-07   -4.8537e-43   +2.9309e-80   +1.3883e-60   -1.0846e-09   -1.4364e-10
 5.549455538332e-03   +1.499333869233e-07   -5.2706e-43   +3.4526e-80   +1.5688e-60   -1.0865e-09   -1.4389e-10
 5.554445684299e-03   +1.503382171619e-07   -5.7229e-43   +4.0665e-80   +1.7726e-60   -1.0885e-09   -1.4415e-10
 5.559440317473e-03   +1.507441404694e-07   -6.2135e-43   +4.7889e-80   +2.0026e-60   -1.0904e-09   -1.4441e-10
 5.564439441890e-03   +1.511511597972e-07   -6.7457e-43   +5.6388e-80   +2.2621e-60   -1.0924e-09   -1.4467e-10
 5.569443061587e-03   +1.515592781045e-07   -7.3230e-43   +6.6385e-80   +2.5551e-60   -1.0944e-09   -1.4493e-10
 5.574451180606e-03   +1.519684983588e-07   -7.9490e-43   +7.8142e-80   +2.8856e-60   -1.0963e-09   -1.4519e-10
 5.579463802995e-03   +1.523788235352e-07   -8.6279e-43   +9.1969e-80   +3.2586e-60   -1.0983e-09   -1.4545e-10
 5.584480932802e-03   +1.527902566173e-07   -9.3641e-43   +1.0823e-79   +3.6793e-60   -1.1003e-09   -1.4572e-10
 5.589502574081e-03   +1.532028005964e-07   -1.0162e-42   +1.2734e-79   +4.1539e-60   -1.1023e-09   -1.4598e-10
 5.594528730887e-03   +1.536164584721e-07   -1.1028e-42   +1.4980e-79   +4.6892e-60   -1.1042e-09   -1.4624e-10
 5.599559407283e-03   +1.540312332518e-07   -1.1966e-42   +1.7621e-79   +5.2929e-60   -1.1062e-09   -1.4650e-10
 5.604594607331e-03   +1.544471279514e-07   -1.2984e-42   +2.0723e-79   +5.9737e-60   -1.1082e-09   -1.4677e-10
 5.609634335099e-03   +1.548641455946e-07   -1.4086e-42   +2.4368e-79   +6.7413e-60   -1.1102e-09   -1.4703e-10
 5.614678594659e-03   +1.552822892136e-07   -1.5281e-42   +2.8650e-79   +7.6066e-60   -1.1122e-09   -1.4730e-10
 5.619727390086e-03   +1.557015618485e-07   -1.6577e-42   +3.3680e-79   +8.5821e-60   -1.1142e-09   -1.4756e-10
 5.624780725459e-03   +1.561219665477e-07   -1.7981e-42   +3.9587e-79   +9.6817e-60   -1.1162e-09   -1.4783e-10
 5.629838604860e-03   +1.565435063679e-07   -1.9502e-42   +4.6523e-79   +1.0921e-59   -1.1182e-09   -1.4809e-10
