# second T derivative of pressure for QED , [d2p^{(n)}/dT2] = MeV^2 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.04747 with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   d2p^{(0)}/dT2,   d2p^{(2)non-log}/dT2,   d2p^{(2)log}/dT2,   d2p^{(3)}/dT2,   d2p^{(4)}/dT2,   d2p^{(5)}/dT2
 1.514499483800e-02   +3.047576470719e-06   -7.6479e-18   +2.2188e-30   +1.7857e-23   -8.0924e-09   -1.0717e-09
 1.515861342354e-02   +3.055805132361e-06   -7.8808e-18   +2.3532e-30   +1.8652e-23   -8.1070e-09   -1.0736e-09
 1.517224425509e-02   +3.064056011944e-06   -8.1206e-18   +2.4957e-30   +1.9481e-23   -8.1216e-09   -1.0756e-09
 1.518588734367e-02   +3.072329169456e-06   -8.3675e-18   +2.6467e-30   +2.0347e-23   -8.1362e-09   -1.0775e-09
 1.519954270030e-02   +3.080624665052e-06   -8.6216e-18   +2.8067e-30   +2.1250e-23   -8.1508e-09   -1.0795e-09
 1.521321033601e-02   +3.088942559043e-06   -8.8832e-18   +2.9762e-30   +2.2192e-23   -8.1655e-09   -1.0814e-09
 1.522689026185e-02   +3.097282911909e-06   -9.1525e-18   +3.1557e-30   +2.3175e-23   -8.1802e-09   -1.0833e-09
 1.524058248886e-02   +3.105645784289e-06   -9.4298e-18   +3.3459e-30   +2.4201e-23   -8.1949e-09   -1.0853e-09
 1.525428702811e-02   +3.114031236987e-06   -9.7151e-18   +3.5474e-30   +2.5271e-23   -8.2096e-09   -1.0872e-09
 1.526800389067e-02   +3.122439330972e-06   -1.0009e-17   +3.7607e-30   +2.6388e-23   -8.2244e-09   -1.0892e-09
 1.528173308762e-02   +3.130870127377e-06   -1.0311e-17   +3.9867e-30   +2.7552e-23   -8.2392e-09   -1.0912e-09
 1.529547463004e-02   +3.139323687500e-06   -1.0622e-17   +4.2261e-30   +2.8767e-23   -8.2540e-09   -1.0931e-09
 1.530922852905e-02   +3.147800072804e-06   -1.0943e-17   +4.4796e-30   +3.0034e-23   -8.2689e-09   -1.0951e-09
 1.532299479576e-02   +3.156299344920e-06   -1.1272e-17   +4.7480e-30   +3.1356e-23   -8.2837e-09   -1.0971e-09
 1.533677344128e-02   +3.164821565642e-06   -1.1611e-17   +5.0323e-30   +3.2734e-23   -8.2986e-09   -1.0990e-09
 1.535056447674e-02   +3.173366796934e-06   -1.1961e-17   +5.3333e-30   +3.4172e-23   -8.3136e-09   -1.1010e-09
 1.536436791329e-02   +3.181935100925e-06   -1.2320e-17   +5.6519e-30   +3.5671e-23   -8.3285e-09   -1.1030e-09
 1.537818376208e-02   +3.190526539915e-06   -1.2690e-17   +5.9893e-30   +3.7235e-23   -8.3435e-09   -1.1050e-09
 1.539201203427e-02   +3.199141176368e-06   -1.3070e-17   +6.3465e-30   +3.8866e-23   -8.3585e-09   -1.1070e-09
 1.540585274103e-02   +3.207779072919e-06   -1.3462e-17   +6.7247e-30   +4.0566e-23   -8.3736e-09   -1.1089e-09
 1.541970589354e-02   +3.216440292373e-06   -1.3865e-17   +7.1250e-30   +4.2340e-23   -8.3886e-09   -1.1109e-09
 1.543357150299e-02   +3.225124897702e-06   -1.4279e-17   +7.5487e-30   +4.4189e-23   -8.4037e-09   -1.1129e-09
 1.544744958059e-02   +3.233832952051e-06   -1.4706e-17   +7.9972e-30   +4.6117e-23   -8.4188e-09   -1.1149e-09
 1.546134013754e-02   +3.242564518732e-06   -1.5145e-17   +8.4718e-30   +4.8127e-23   -8.4340e-09   -1.1170e-09
 1.547524318508e-02   +3.251319661231e-06   -1.5596e-17   +8.9742e-30   +5.0222e-23   -8.4492e-09   -1.1190e-09
 1.548915873442e-02   +3.260098443205e-06   -1.6061e-17   +9.5059e-30   +5.2407e-23   -8.4644e-09   -1.1210e-09
 1.550308679681e-02   +3.268900928481e-06   -1.6539e-17   +1.0069e-29   +5.4685e-23   -8.4796e-09   -1.1230e-09
 1.551702738351e-02   +3.277727181060e-06   -1.7031e-17   +1.0664e-29   +5.7059e-23   -8.4949e-09   -1.1250e-09
 1.553098050577e-02   +3.286577265114e-06   -1.7537e-17   +1.1294e-29   +5.9535e-23   -8.5101e-09   -1.1270e-09
 1.554494617487e-02   +3.295451244992e-06   -1.8057e-17   +1.1960e-29   +6.2115e-23   -8.5254e-09   -1.1291e-09
 1.555892440209e-02   +3.304349185213e-06   -1.8593e-17   +1.2666e-29   +6.4804e-23   -8.5408e-09   -1.1311e-09
 1.557291519872e-02   +3.313271150472e-06   -1.9144e-17   +1.3412e-29   +6.7607e-23   -8.5562e-09   -1.1331e-09
 1.558691857607e-02   +3.322217205637e-06   -1.9710e-17   +1.4201e-29   +7.0529e-23   -8.5716e-09   -1.1352e-09
 1.560093454545e-02   +3.331187415754e-06   -2.0293e-17   +1.5036e-29   +7.3574e-23   -8.5870e-09   -1.1372e-09
 1.561496311817e-02   +3.340181846041e-06   -2.0893e-17   +1.5919e-29   +7.6747e-23   -8.6024e-09   -1.1393e-09
 1.562900430558e-02   +3.349200561897e-06   -2.1510e-17   +1.6853e-29   +8.0054e-23   -8.6179e-09   -1.1413e-09
 1.564305811901e-02   +3.358243628892e-06   -2.2144e-17   +1.7841e-29   +8.3500e-23   -8.6334e-09   -1.1434e-09
 1.565712456983e-02   +3.367311112777e-06   -2.2797e-17   +1.8886e-29   +8.7091e-23   -8.6489e-09   -1.1454e-09
 1.567120366939e-02   +3.376403079479e-06   -2.3468e-17   +1.9991e-29   +9.0833e-23   -8.6645e-09   -1.1475e-09
 1.568529542907e-02   +3.385519595103e-06   -2.4158e-17   +2.1160e-29   +9.4732e-23   -8.6801e-09   -1.1496e-09
 1.569939986025e-02   +3.394660725933e-06   -2.4868e-17   +2.2395e-29   +9.8794e-23   -8.6957e-09   -1.1516e-09
 1.571351697432e-02   +3.403826538432e-06   -2.5598e-17   +2.3702e-29   +1.0303e-22   -8.7114e-09   -1.1537e-09
 1.572764678270e-02   +3.413017099241e-06   -2.6349e-17   +2.5084e-29   +1.0744e-22   -8.7270e-09   -1.1558e-09
 1.574178929679e-02   +3.422232475184e-06   -2.7121e-17   +2.6544e-29   +1.1203e-22   -8.7427e-09   -1.1579e-09
 1.575594452803e-02   +3.431472733262e-06   -2.7915e-17   +2.8089e-29   +1.1682e-22   -8.7585e-09   -1.1599e-09
 1.577011248784e-02   +3.440737940659e-06   -2.8731e-17   +2.9721e-29   +1.2180e-22   -8.7742e-09   -1.1620e-09
 1.578429318767e-02   +3.450028164740e-06   -2.9571e-17   +3.1447e-29   +1.2700e-22   -8.7900e-09   -1.1641e-09
 1.579848663899e-02   +3.459343473051e-06   -3.0434e-17   +3.3272e-29   +1.3240e-22   -8.8058e-09   -1.1662e-09
 1.581269285324e-02   +3.468683933322e-06   -3.1322e-17   +3.5200e-29   +1.3804e-22   -8.8217e-09   -1.1683e-09
 1.582691184192e-02   +3.478049613465e-06   -3.2235e-17   +3.7238e-29   +1.4391e-22   -8.8375e-09   -1.1704e-09
 1.584114361651e-02   +3.487440581574e-06   -3.3174e-17   +3.9392e-29   +1.5002e-22   -8.8534e-09   -1.1725e-09
 1.585538818850e-02   +3.496856905930e-06   -3.4139e-17   +4.1669e-29   +1.5639e-22   -8.8694e-09   -1.1746e-09
 1.586964556940e-02   +3.506298654995e-06   -3.5131e-17   +4.4075e-29   +1.6302e-22   -8.8853e-09   -1.1767e-09
 1.588391577074e-02   +3.515765897419e-06   -3.6151e-17   +4.6617e-29   +1.6992e-22   -8.9013e-09   -1.1788e-09
 1.589819880403e-02   +3.525258702035e-06   -3.7200e-17   +4.9304e-29   +1.7711e-22   -8.9173e-09   -1.1810e-09
 1.591249468083e-02   +3.534777137862e-06   -3.8278e-17   +5.2142e-29   +1.8460e-22   -8.9334e-09   -1.1831e-09
 1.592680341267e-02   +3.544321274106e-06   -3.9386e-17   +5.5141e-29   +1.9239e-22   -8.9495e-09   -1.1852e-09
 1.594112501111e-02   +3.553891180162e-06   -4.0526e-17   +5.8310e-29   +2.0051e-22   -8.9655e-09   -1.1874e-09
 1.595545948773e-02   +3.563486925607e-06   -4.1697e-17   +6.1657e-29   +2.0896e-22   -8.9817e-09   -1.1895e-09
 1.596980685411e-02   +3.573108580212e-06   -4.2901e-17   +6.5194e-29   +2.1776e-22   -8.9978e-09   -1.1916e-09
 1.598416712184e-02   +3.582756213932e-06   -4.4139e-17   +6.8929e-29   +2.2692e-22   -9.0140e-09   -1.1938e-09
 1.599854030251e-02   +3.592429896913e-06   -4.5411e-17   +7.2875e-29   +2.3646e-22   -9.0303e-09   -1.1959e-09
 1.601292640775e-02   +3.602129699489e-06   -4.6719e-17   +7.7043e-29   +2.4639e-22   -9.0465e-09   -1.1981e-09
 1.602732544916e-02   +3.611855692184e-06   -4.8063e-17   +8.1444e-29   +2.5673e-22   -9.0628e-09   -1.2002e-09
 1.604173743839e-02   +3.621607945716e-06   -4.9445e-17   +8.6093e-29   +2.6749e-22   -9.0791e-09   -1.2024e-09
 1.605616238708e-02   +3.631386530988e-06   -5.0865e-17   +9.1003e-29   +2.7868e-22   -9.0954e-09   -1.2045e-09
 1.607060030688e-02   +3.641191519099e-06   -5.2324e-17   +9.6188e-29   +2.9034e-22   -9.1118e-09   -1.2067e-09
 1.608505120945e-02   +3.651022981338e-06   -5.3824e-17   +1.0166e-28   +3.0248e-22   -9.1282e-09   -1.2089e-09
 1.609951510647e-02   +3.660880989187e-06   -5.5366e-17   +1.0744e-28   +3.1510e-22   -9.1446e-09   -1.2111e-09
 1.611399200962e-02   +3.670765614320e-06   -5.6950e-17   +1.1355e-28   +3.2825e-22   -9.1610e-09   -1.2132e-09
 1.612848193060e-02   +3.680676928608e-06   -5.8578e-17   +1.1999e-28   +3.4192e-22   -9.1775e-09   -1.2154e-09
 1.614298488112e-02   +3.690615004111e-06   -6.0251e-17   +1.2680e-28   +3.5616e-22   -9.1941e-09   -1.2176e-09
 1.615750087288e-02   +3.700579913087e-06   -6.1970e-17   +1.3398e-28   +3.7097e-22   -9.2106e-09   -1.2198e-09
 1.617202991763e-02   +3.710571727989e-06   -6.3737e-17   +1.4156e-28   +3.8638e-22   -9.2272e-09   -1.2220e-09
 1.618657202708e-02   +3.720590521463e-06   -6.5553e-17   +1.4956e-28   +4.0242e-22   -9.2438e-09   -1.2242e-09
 1.620112721301e-02   +3.730636366354e-06   -6.7418e-17   +1.5801e-28   +4.1911e-22   -9.2604e-09   -1.2264e-09
 1.621569548715e-02   +3.740709335703e-06   -6.9335e-17   +1.6693e-28   +4.3648e-22   -9.2771e-09   -1.2286e-09
 1.623027686128e-02   +3.750809502748e-06   -7.1304e-17   +1.7634e-28   +4.5454e-22   -9.2938e-09   -1.2308e-09
 1.624487134718e-02   +3.760936940924e-06   -7.3328e-17   +1.8627e-28   +4.7334e-22   -9.3105e-09   -1.2330e-09
 1.625947895665e-02   +3.771091723864e-06   -7.5407e-17   +1.9675e-28   +4.9289e-22   -9.3272e-09   -1.2353e-09
 1.627409970147e-02   +3.781273925402e-06   -7.7543e-17   +2.0781e-28   +5.1323e-22   -9.3440e-09   -1.2375e-09
 1.628873359347e-02   +3.791483619570e-06   -7.9737e-17   +2.1949e-28   +5.3440e-22   -9.3608e-09   -1.2397e-09
 1.630338064446e-02   +3.801720880600e-06   -8.1992e-17   +2.3180e-28   +5.5641e-22   -9.3777e-09   -1.2419e-09
 1.631804086628e-02   +3.811985782924e-06   -8.4308e-17   +2.4480e-28   +5.7931e-22   -9.3945e-09   -1.2442e-09
 1.633271427077e-02   +3.822278401175e-06   -8.6688e-17   +2.5851e-28   +6.0313e-22   -9.4114e-09   -1.2464e-09
 1.634740086979e-02   +3.832598810189e-06   -8.9132e-17   +2.7297e-28   +6.2790e-22   -9.4284e-09   -1.2487e-09
 1.636210067519e-02   +3.842947085002e-06   -9.1643e-17   +2.8823e-28   +6.5367e-22   -9.4453e-09   -1.2509e-09
 1.637681369886e-02   +3.853323300854e-06   -9.4222e-17   +3.0432e-28   +6.8046e-22   -9.4623e-09   -1.2531e-09
 1.639153995268e-02   +3.863727533187e-06   -9.6872e-17   +3.2130e-28   +7.0833e-22   -9.4794e-09   -1.2554e-09
 1.640627944855e-02   +3.874159857648e-06   -9.9594e-17   +3.3921e-28   +7.3732e-22   -9.4964e-09   -1.2577e-09
 1.642103219838e-02   +3.884620350088e-06   -1.0239e-16   +3.5810e-28   +7.6746e-22   -9.5135e-09   -1.2599e-09
 1.643579821408e-02   +3.895109086561e-06   -1.0526e-16   +3.7802e-28   +7.9880e-22   -9.5306e-09   -1.2622e-09
 1.645057750758e-02   +3.905626143330e-06   -1.0821e-16   +3.9903e-28   +8.3139e-22   -9.5478e-09   -1.2645e-09
 1.646537009082e-02   +3.916171596860e-06   -1.1124e-16   +4.2118e-28   +8.6528e-22   -9.5649e-09   -1.2667e-09
 1.648017597576e-02   +3.926745523824e-06   -1.1435e-16   +4.4455e-28   +9.0052e-22   -9.5821e-09   -1.2690e-09
 1.649499517434e-02   +3.937348001103e-06   -1.1754e-16   +4.6918e-28   +9.3715e-22   -9.5994e-09   -1.2713e-09
 1.650982769856e-02   +3.947979105785e-06   -1.2082e-16   +4.9516e-28   +9.7524e-22   -9.6167e-09   -1.2736e-09
 1.652467356038e-02   +3.958638915166e-06   -1.2419e-16   +5.2255e-28   +1.0148e-21   -9.6340e-09   -1.2759e-09
 1.653953277180e-02   +3.969327506749e-06   -1.2766e-16   +5.5142e-28   +1.0560e-21   -9.6513e-09   -1.2782e-09
 1.655440534483e-02   +3.980044958250e-06   -1.3121e-16   +5.8187e-28   +1.0988e-21   -9.6687e-09   -1.2805e-09
 1.656929129148e-02   +3.990791347592e-06   -1.3486e-16   +6.1396e-28   +1.1433e-21   -9.6861e-09   -1.2828e-09
 1.658419062377e-02   +4.001566752908e-06   -1.3861e-16   +6.4779e-28   +1.1896e-21   -9.7035e-09   -1.2851e-09
 1.659910335375e-02   +4.012371252544e-06   -1.4245e-16   +6.8345e-28   +1.2376e-21   -9.7209e-09   -1.2874e-09
 1.661402949345e-02   +4.023204925057e-06   -1.4641e-16   +7.2104e-28   +1.2876e-21   -9.7384e-09   -1.2897e-09
 1.662896905494e-02   +4.034067849216e-06   -1.5046e-16   +7.6066e-28   +1.3395e-21   -9.7560e-09   -1.2920e-09
 1.664392205030e-02   +4.044960104001e-06   -1.5463e-16   +8.0241e-28   +1.3935e-21   -9.7735e-09   -1.2944e-09
 1.665888849158e-02   +4.055881768607e-06   -1.5890e-16   +8.4642e-28   +1.4496e-21   -9.7911e-09   -1.2967e-09
 1.667386839090e-02   +4.066832922444e-06   -1.6330e-16   +8.9279e-28   +1.5079e-21   -9.8087e-09   -1.2990e-09
 1.668886176034e-02   +4.077813645133e-06   -1.6780e-16   +9.4166e-28   +1.5685e-21   -9.8264e-09   -1.3014e-09
 1.670386861203e-02   +4.088824016513e-06   -1.7243e-16   +9.9315e-28   +1.6314e-21   -9.8440e-09   -1.3037e-09
 1.671888895808e-02   +4.099864116637e-06   -1.7718e-16   +1.0474e-27   +1.6969e-21   -9.8618e-09   -1.3060e-09
 1.673392281063e-02   +4.110934025775e-06   -1.8206e-16   +1.1046e-27   +1.7649e-21   -9.8795e-09   -1.3084e-09
 1.674897018183e-02   +4.122033824414e-06   -1.8707e-16   +1.1648e-27   +1.8355e-21   -9.8973e-09   -1.3108e-09
 1.676403108383e-02   +4.133163593256e-06   -1.9221e-16   +1.2283e-27   +1.9089e-21   -9.9151e-09   -1.3131e-09
 1.677910552879e-02   +4.144323413223e-06   -1.9749e-16   +1.2951e-27   +1.9851e-21   -9.9329e-09   -1.3155e-09
 1.679419352891e-02   +4.155513365457e-06   -2.0291e-16   +1.3655e-27   +2.0644e-21   -9.9508e-09   -1.3178e-09
 1.680929509635e-02   +4.166733531314e-06   -2.0847e-16   +1.4397e-27   +2.1467e-21   -9.9687e-09   -1.3202e-09
 1.682441024333e-02   +4.177983992376e-06   -2.1418e-16   +1.5178e-27   +2.2322e-21   -9.9866e-09   -1.3226e-09
 1.683953898206e-02   +4.189264830440e-06   -2.2004e-16   +1.6001e-27   +2.3210e-21   -1.0005e-08   -1.3250e-09
 1.685468132476e-02   +4.200576127526e-06   -2.2605e-16   +1.6868e-27   +2.4133e-21   -1.0023e-08   -1.3273e-09
 1.686983728366e-02   +4.211917965876e-06   -2.3222e-16   +1.7781e-27   +2.5092e-21   -1.0041e-08   -1.3297e-09
 1.688500687100e-02   +4.223290427954e-06   -2.3856e-16   +1.8742e-27   +2.6088e-21   -1.0059e-08   -1.3321e-09
 1.690019009904e-02   +4.234693596446e-06   -2.4506e-16   +1.9754e-27   +2.7122e-21   -1.0077e-08   -1.3345e-09
 1.691538698004e-02   +4.246127554260e-06   -2.5174e-16   +2.0820e-27   +2.8196e-21   -1.0095e-08   -1.3369e-09
 1.693059752629e-02   +4.257592384531e-06   -2.5859e-16   +2.1943e-27   +2.9312e-21   -1.0113e-08   -1.3393e-09
 1.694582175007e-02   +4.269088170615e-06   -2.6561e-16   +2.3124e-27   +3.0470e-21   -1.0131e-08   -1.3417e-09
 1.696105966368e-02   +4.280614996096e-06   -2.7283e-16   +2.4369e-27   +3.1674e-21   -1.0149e-08   -1.3441e-09
 1.697631127942e-02   +4.292172944783e-06   -2.8023e-16   +2.5678e-27   +3.2923e-21   -1.0168e-08   -1.3466e-09
 1.699157660963e-02   +4.303762100709e-06   -2.8783e-16   +2.7057e-27   +3.4221e-21   -1.0186e-08   -1.3490e-09
 1.700685566663e-02   +4.315382548137e-06   -2.9562e-16   +2.8509e-27   +3.5569e-21   -1.0204e-08   -1.3514e-09
 1.702214846277e-02   +4.327034371556e-06   -3.0362e-16   +3.0037e-27   +3.6968e-21   -1.0223e-08   -1.3539e-09
 1.703745501039e-02   +4.338717655683e-06   -3.1183e-16   +3.1646e-27   +3.8421e-21   -1.0241e-08   -1.3563e-09
 1.705277532188e-02   +4.350432485464e-06   -3.2025e-16   +3.3339e-27   +3.9930e-21   -1.0260e-08   -1.3587e-09
 1.706810940959e-02   +4.362178946075e-06   -3.2889e-16   +3.5120e-27   +4.1496e-21   -1.0278e-08   -1.3612e-09
 1.708345728593e-02   +4.373957122920e-06   -3.3776e-16   +3.6996e-27   +4.3122e-21   -1.0297e-08   -1.3636e-09
 1.709881896328e-02   +4.385767101637e-06   -3.4686e-16   +3.8969e-27   +4.4811e-21   -1.0315e-08   -1.3661e-09
 1.711419445407e-02   +4.397608968092e-06   -3.5619e-16   +4.1046e-27   +4.6563e-21   -1.0334e-08   -1.3685e-09
 1.712958377070e-02   +4.409482808383e-06   -3.6577e-16   +4.3232e-27   +4.8383e-21   -1.0352e-08   -1.3710e-09
 1.714498692562e-02   +4.421388708844e-06   -3.7559e-16   +4.5531e-27   +5.0272e-21   -1.0371e-08   -1.3735e-09
 1.716040393127e-02   +4.433326756037e-06   -3.8567e-16   +4.7951e-27   +5.2233e-21   -1.0390e-08   -1.3759e-09
 1.717583480009e-02   +4.445297036763e-06   -3.9601e-16   +5.0497e-27   +5.4268e-21   -1.0408e-08   -1.3784e-09
 1.719127954457e-02   +4.457299638053e-06   -4.0662e-16   +5.3175e-27   +5.6381e-21   -1.0427e-08   -1.3809e-09
 1.720673817716e-02   +4.469334647174e-06   -4.1751e-16   +5.5993e-27   +5.8574e-21   -1.0446e-08   -1.3834e-09
 1.722221071037e-02   +4.481402151632e-06   -4.2867e-16   +5.8957e-27   +6.0849e-21   -1.0464e-08   -1.3859e-09
 1.723769715670e-02   +4.493502239164e-06   -4.4012e-16   +6.2075e-27   +6.3211e-21   -1.0483e-08   -1.3884e-09
 1.725319752864e-02   +4.505634997748e-06   -4.5187e-16   +6.5355e-27   +6.5663e-21   -1.0502e-08   -1.3909e-09
 1.726871183874e-02   +4.517800515598e-06   -4.6391e-16   +6.8805e-27   +6.8207e-21   -1.0521e-08   -1.3934e-09
 1.728424009951e-02   +4.529998881165e-06   -4.7627e-16   +7.2434e-27   +7.0847e-21   -1.0540e-08   -1.3959e-09
 1.729978232350e-02   +4.542230183141e-06   -4.8895e-16   +7.6250e-27   +7.3586e-21   -1.0559e-08   -1.3984e-09
 1.731533852328e-02   +4.554494510457e-06   -5.0195e-16   +8.0264e-27   +7.6429e-21   -1.0578e-08   -1.4009e-09
 1.733090871140e-02   +4.566791952283e-06   -5.1529e-16   +8.4485e-27   +7.9379e-21   -1.0597e-08   -1.4034e-09
 1.734649290044e-02   +4.579122598031e-06   -5.2897e-16   +8.8923e-27   +8.2439e-21   -1.0616e-08   -1.4059e-09
 1.736209110300e-02   +4.591486537353e-06   -5.4299e-16   +9.3591e-27   +8.5615e-21   -1.0635e-08   -1.4085e-09
 1.737770333168e-02   +4.603883860144e-06   -5.5738e-16   +9.8498e-27   +8.8910e-21   -1.0654e-08   -1.4110e-09
 1.739332959908e-02   +4.616314656542e-06   -5.7213e-16   +1.0366e-26   +9.2328e-21   -1.0673e-08   -1.4135e-09
 1.740896991784e-02   +4.628779016928e-06   -5.8726e-16   +1.0908e-26   +9.5874e-21   -1.0693e-08   -1.4161e-09
 1.742462430059e-02   +4.641277031927e-06   -6.0278e-16   +1.1479e-26   +9.9553e-21   -1.0712e-08   -1.4186e-09
 1.744029275997e-02   +4.653808792409e-06   -6.1869e-16   +1.2078e-26   +1.0337e-20   -1.0731e-08   -1.4212e-09
 1.745597530864e-02   +4.666374389488e-06   -6.3501e-16   +1.2709e-26   +1.0733e-20   -1.0750e-08   -1.4237e-09
 1.747167195927e-02   +4.678973914527e-06   -6.5174e-16   +1.3371e-26   +1.1143e-20   -1.0770e-08   -1.4263e-09
 1.748738272454e-02   +4.691607459132e-06   -6.6890e-16   +1.4068e-26   +1.1569e-20   -1.0789e-08   -1.4289e-09
 1.750310761715e-02   +4.704275115159e-06   -6.8649e-16   +1.4800e-26   +1.2011e-20   -1.0809e-08   -1.4314e-09
 1.751884664980e-02   +4.716976974712e-06   -7.0453e-16   +1.5569e-26   +1.2470e-20   -1.0828e-08   -1.4340e-09
 1.753459983520e-02   +4.729713130141e-06   -7.2303e-16   +1.6378e-26   +1.2945e-20   -1.0848e-08   -1.4366e-09
 1.755036718607e-02   +4.742483674048e-06   -7.4199e-16   +1.7228e-26   +1.3438e-20   -1.0867e-08   -1.4392e-09
 1.756614871517e-02   +4.755288699285e-06   -7.6144e-16   +1.8121e-26   +1.3949e-20   -1.0887e-08   -1.4418e-09
 1.758194443523e-02   +4.768128298952e-06   -7.8137e-16   +1.9060e-26   +1.4479e-20   -1.0906e-08   -1.4444e-09
 1.759775435901e-02   +4.781002566405e-06   -8.0181e-16   +2.0046e-26   +1.5029e-20   -1.0926e-08   -1.4470e-09
 1.761357849930e-02   +4.793911595247e-06   -8.2276e-16   +2.1082e-26   +1.5599e-20   -1.0946e-08   -1.4496e-09
 1.762941686886e-02   +4.806855479337e-06   -8.4424e-16   +2.2171e-26   +1.6190e-20   -1.0965e-08   -1.4522e-09
 1.764526948051e-02   +4.819834312787e-06   -8.6627e-16   +2.3314e-26   +1.6803e-20   -1.0985e-08   -1.4548e-09
 1.766113634704e-02   +4.832848189963e-06   -8.8884e-16   +2.4516e-26   +1.7439e-20   -1.1005e-08   -1.4574e-09
 1.767701748127e-02   +4.845897205484e-06   -9.1199e-16   +2.5779e-26   +1.8098e-20   -1.1025e-08   -1.4600e-09
 1.769291289603e-02   +4.858981454226e-06   -9.3571e-16   +2.7105e-26   +1.8781e-20   -1.1044e-08   -1.4626e-09
 1.770882260417e-02   +4.872101031323e-06   -9.6003e-16   +2.8498e-26   +1.9489e-20   -1.1064e-08   -1.4653e-09
 1.772474661853e-02   +4.885256032162e-06   -9.8496e-16   +2.9961e-26   +2.0224e-20   -1.1084e-08   -1.4679e-09
 1.774068495198e-02   +4.898446552390e-06   -1.0105e-15   +3.1498e-26   +2.0985e-20   -1.1104e-08   -1.4706e-09
 1.775663761740e-02   +4.911672687912e-06   -1.0367e-15   +3.3113e-26   +2.1774e-20   -1.1124e-08   -1.4732e-09
 1.777260462768e-02   +4.924934534893e-06   -1.0636e-15   +3.4808e-26   +2.2592e-20   -1.1144e-08   -1.4759e-09
 1.778858599570e-02   +4.938232189754e-06   -1.0911e-15   +3.6589e-26   +2.3440e-20   -1.1164e-08   -1.4785e-09
 1.780458173439e-02   +4.951565749180e-06   -1.1193e-15   +3.8459e-26   +2.4319e-20   -1.1184e-08   -1.4812e-09
 1.782059185667e-02   +4.964935310116e-06   -1.1482e-15   +4.0422e-26   +2.5231e-20   -1.1204e-08   -1.4838e-09
 1.783661637547e-02   +4.978340969767e-06   -1.1778e-15   +4.2484e-26   +2.6175e-20   -1.1224e-08   -1.4865e-09
 1.785265530373e-02   +4.991782825604e-06   -1.2081e-15   +4.4649e-26   +2.7153e-20   -1.1245e-08   -1.4892e-09
 1.786870865441e-02   +5.005260975359e-06   -1.2393e-15   +4.6922e-26   +2.8168e-20   -1.1265e-08   -1.4919e-09
 1.788477644049e-02   +5.018775517026e-06   -1.2711e-15   +4.9308e-26   +2.9219e-20   -1.1285e-08   -1.4945e-09
 1.790085867493e-02   +5.032326548868e-06   -1.3038e-15   +5.1814e-26   +3.0308e-20   -1.1305e-08   -1.4972e-09
 1.791695537075e-02   +5.045914169410e-06   -1.3373e-15   +5.4444e-26   +3.1438e-20   -1.1326e-08   -1.4999e-09
 1.793306654093e-02   +5.059538477444e-06   -1.3716e-15   +5.7205e-26   +3.2607e-20   -1.1346e-08   -1.5026e-09
 1.794919219849e-02   +5.073199572028e-06   -1.4068e-15   +6.0104e-26   +3.3820e-20   -1.1367e-08   -1.5053e-09
 1.796533235646e-02   +5.086897552490e-06   -1.4428e-15   +6.3146e-26   +3.5076e-20   -1.1387e-08   -1.5080e-09
 1.798148702789e-02   +5.100632518423e-06   -1.4798e-15   +6.6340e-26   +3.6377e-20   -1.1407e-08   -1.5107e-09
 1.799765622581e-02   +5.114404569690e-06   -1.5176e-15   +6.9691e-26   +3.7726e-20   -1.1428e-08   -1.5135e-09
 1.801383996330e-02   +5.128213806426e-06   -1.5563e-15   +7.3209e-26   +3.9123e-20   -1.1449e-08   -1.5162e-09
 1.803003825342e-02   +5.142060329032e-06   -1.5960e-15   +7.6901e-26   +4.0570e-20   -1.1469e-08   -1.5189e-09
 1.804625110927e-02   +5.155944238183e-06   -1.6368e-15   +8.0775e-26   +4.2070e-20   -1.1490e-08   -1.5217e-09
 1.806247854394e-02   +5.169865634826e-06   -1.6784e-15   +8.4840e-26   +4.3624e-20   -1.1511e-08   -1.5244e-09
 1.807872057054e-02   +5.183824620180e-06   -1.7211e-15   +8.9106e-26   +4.5233e-20   -1.1531e-08   -1.5271e-09
 1.809497720219e-02   +5.197821295736e-06   -1.7649e-15   +9.3582e-26   +4.6900e-20   -1.1552e-08   -1.5299e-09
 1.811124845202e-02   +5.211855763261e-06   -1.8097e-15   +9.8279e-26   +4.8627e-20   -1.1573e-08   -1.5326e-09
 1.812753433318e-02   +5.225928124795e-06   -1.8557e-15   +1.0321e-25   +5.0416e-20   -1.1594e-08   -1.5354e-09
 1.814383485883e-02   +5.240038482655e-06   -1.9027e-15   +1.0838e-25   +5.2269e-20   -1.1614e-08   -1.5382e-09
 1.816015004214e-02   +5.254186939434e-06   -1.9509e-15   +1.1380e-25   +5.4188e-20   -1.1635e-08   -1.5409e-09
 1.817647989628e-02   +5.268373598001e-06   -2.0003e-15   +1.1949e-25   +5.6176e-20   -1.1656e-08   -1.5437e-09
 1.819282443444e-02   +5.282598561505e-06   -2.0509e-15   +1.2546e-25   +5.8234e-20   -1.1677e-08   -1.5465e-09
