# Standard Model Evoultion for 1 keV < T < 10 MeV as calculated in Escudero 2001.04466, JCAP 05 (2020) 048
# Includes NLO-QED thermal corrections, and the electron mass and spin-statistics in the collision terms
# Neff          = 3.044
# O_nu/mnu (eV) = 93.07
# s0 (cm^-3)    = 2906.92
# g_s0          = 3.930
# g_*0          = 3.383
# Definitions: a is the dimensionless scale factor, z_gam = a T_gam/m_e , z_nu = a T_nu/m_e, N is defined in Eq A.17 in 2001.04466
# t (s)        T_gam (MeV)    T_gam/T_nue    T_gam/T_numu   g*             gs             a              z_gam          z_nue          z_numu         N              
1.1707433E-02  7.9432823E+00  1.0000011E+00  1.0000016E+00  1.0735726E+01  1.0735224E+01  6.4333790E-02  1.0000420E+00  1.0000409E+00  1.0000404E+00  6.3155689E-04  
1.1925108E-02  7.8704579E+00  1.0000011E+00  1.0000017E+00  1.0735705E+01  1.0735194E+01  6.4929123E-02  1.0000429E+00  1.0000418E+00  1.0000412E+00  6.4266898E-04  
1.2146829E-02  7.7983011E+00  1.0000012E+00  1.0000018E+00  1.0735685E+01  1.0735164E+01  6.5529966E-02  1.0000438E+00  1.0000427E+00  1.0000421E+00  6.5395450E-04  
1.2372674E-02  7.7268059E+00  1.0000012E+00  1.0000019E+00  1.0735663E+01  1.0735133E+01  6.6136370E-02  1.0000448E+00  1.0000436E+00  1.0000429E+00  6.6542148E-04  
1.2602718E-02  7.6559661E+00  1.0000013E+00  1.0000019E+00  1.0735642E+01  1.0735102E+01  6.6748387E-02  1.0000458E+00  1.0000445E+00  1.0000438E+00  6.7706905E-04  
1.2837039E-02  7.5857758E+00  1.0000014E+00  1.0000020E+00  1.0735620E+01  1.0735070E+01  6.7366069E-02  1.0000468E+00  1.0000454E+00  1.0000447E+00  6.8890105E-04  
1.3075718E-02  7.5162289E+00  1.0000014E+00  1.0000021E+00  1.0735597E+01  1.0735038E+01  6.7989468E-02  1.0000478E+00  1.0000464E+00  1.0000456E+00  7.0092151E-04  
1.3318834E-02  7.4473197E+00  1.0000015E+00  1.0000022E+00  1.0735574E+01  1.0735005E+01  6.8618638E-02  1.0000488E+00  1.0000473E+00  1.0000466E+00  7.1313087E-04  
1.3566472E-02  7.3790423E+00  1.0000015E+00  1.0000023E+00  1.0735551E+01  1.0734971E+01  6.9253631E-02  1.0000498E+00  1.0000483E+00  1.0000475E+00  7.2553601E-04  
1.3818714E-02  7.3113908E+00  1.0000016E+00  1.0000024E+00  1.0735527E+01  1.0734936E+01  6.9894502E-02  1.0000509E+00  1.0000493E+00  1.0000485E+00  7.3813242E-04  
1.4075647E-02  7.2443596E+00  1.0000017E+00  1.0000025E+00  1.0735502E+01  1.0734901E+01  7.0541305E-02  1.0000520E+00  1.0000503E+00  1.0000495E+00  7.5091762E-04  
1.4337357E-02  7.1779429E+00  1.0000018E+00  1.0000027E+00  1.0735477E+01  1.0734865E+01  7.1194095E-02  1.0000531E+00  1.0000514E+00  1.0000505E+00  7.6390013E-04  
1.4603934E-02  7.1121351E+00  1.0000019E+00  1.0000028E+00  1.0735451E+01  1.0734829E+01  7.1852927E-02  1.0000543E+00  1.0000524E+00  1.0000515E+00  7.7707461E-04  
1.4875467E-02  7.0469307E+00  1.0000019E+00  1.0000029E+00  1.0735425E+01  1.0734791E+01  7.2517858E-02  1.0000554E+00  1.0000535E+00  1.0000525E+00  7.9045703E-04  
1.5152050E-02  6.9823240E+00  1.0000020E+00  1.0000030E+00  1.0735399E+01  1.0734753E+01  7.3188944E-02  1.0000566E+00  1.0000546E+00  1.0000536E+00  8.0404188E-04  
1.5433776E-02  6.9183097E+00  1.0000021E+00  1.0000032E+00  1.0735372E+01  1.0734715E+01  2.1474918E-02  2.9074390E-01  2.4669999E+00  1.3790848E+00  0.0000000E+00  
1.5720741E-02  6.8548823E+00  1.0000022E+00  1.0000033E+00  1.0735344E+01  1.0734675E+01  7.4549809E-02  1.0000590E+00  1.0000568E+00  1.0000557E+00  8.3182992E-04  
1.6013043E-02  6.7920363E+00  1.0000023E+00  1.0000035E+00  1.0735315E+01  1.0734635E+01  7.5239704E-02  1.0000603E+00  1.0000580E+00  1.0000568E+00  8.4603258E-04  
1.6310779E-02  6.7297666E+00  1.0000024E+00  1.0000036E+00  1.0735286E+01  1.0734594E+01  7.5935986E-02  1.0000616E+00  1.0000591E+00  1.0000579E+00  8.6044272E-04  
1.6614052E-02  6.6680677E+00  1.0000025E+00  1.0000038E+00  1.0735257E+01  1.0734552E+01  7.6638713E-02  1.0000629E+00  1.0000603E+00  1.0000591E+00  8.7506299E-04  
