# Standard Model Evoultion for 1 keV < T < 10 MeV as calculated in 2001.04466 
# Includes NLO-QED thermal corrections, and the electron mass and spin-statistics in the collision terms
# Neff          = 3.04483     
# O_nu/mnu (eV) = 93.06       
# s0 (cm^-3)    = 2907.1      
# g_s0          = 3.9304      
# g_*0          = 3.383       
#t (s)         T_gam (MeV)    T_gam/T_nu     g*             gs             a              z_gam          z_nu           N(a)
4.0746551E+00  4.3651583E-01  1.0274580E+00  9.8334137E+00  9.8604698E+00  2.3568060E+00  1.0287831E+00  1.0012897E+00  1.8704827E-03  
4.1542403E+00  4.3251383E-01  1.0279887E+00  9.8170068E+00  9.8451198E+00  2.3798489E+00  1.0293176E+00  1.0012926E+00  1.8480925E-03  
4.2354458E+00  4.2854852E-01  1.0285287E+00  9.8003428E+00  9.8295377E+00  2.4031380E+00  1.0298612E+00  1.0012955E+00  1.8257883E-03  
4.3183068E+00  4.2461956E-01  1.0290780E+00  9.7834190E+00  9.8137210E+00  2.4266763E+00  1.0304142E+00  1.0012984E+00  1.8035705E-03  
4.4028593E+00  4.2072663E-01  1.0296369E+00  9.7662325E+00  9.7976672E+00  2.4504671E+00  1.0309768E+00  1.0013013E+00  1.7814390E-03  
4.4891401E+00  4.1686938E-01  1.0302054E+00  9.7487804E+00  9.7813739E+00  2.4745135E+00  1.0315489E+00  1.0013041E+00  1.7593962E-03  
4.5771871E+00  4.1304750E-01  1.0307837E+00  9.7310598E+00  9.7648387E+00  2.4988189E+00  1.0321309E+00  1.0013069E+00  1.7374444E-03  
4.6670389E+00  4.0926066E-01  1.0313720E+00  9.7130680E+00  9.7480591E+00  2.5233865E+00  1.0327228E+00  1.0013097E+00  1.7155855E-03  
4.7587350E+00  4.0550854E-01  1.0319704E+00  9.6948022E+00  9.7310328E+00  2.5482196E+00  1.0333248E+00  1.0013125E+00  1.6938209E-03  
4.8523159E+00  4.0179081E-01  1.0325790E+00  9.6762595E+00  9.7137572E+00  2.5733219E+00  1.0339371E+00  1.0013152E+00  1.6721522E-03  
4.9478231E+00  3.9810717E-01  1.0331981E+00  9.6574372E+00  9.6962301E+00  2.5986966E+00  1.0345597E+00  1.0013179E+00  1.6505808E-03  
5.0452991E+00  3.9445730E-01  1.0338277E+00  9.6383326E+00  9.6784491E+00  2.6243473E+00  1.0351929E+00  1.0013206E+00  1.6291076E-03  
5.1447874E+00  3.9084090E-01  1.0344680E+00  9.6189429E+00  9.6604118E+00  2.6502776E+00  1.0358369E+00  1.0013232E+00  1.6077345E-03  
5.2463324E+00  3.8725764E-01  1.0351192E+00  9.5992654E+00  9.6421160E+00  2.6764912E+00  1.0364917E+00  1.0013259E+00  1.5864620E-03  
5.3499799E+00  3.8370725E-01  1.0357815E+00  9.5792974E+00  9.6235593E+00  2.7029917E+00  1.0371575E+00  1.0013285E+00  1.5652912E-03  
5.4557764E+00  3.8018940E-01  1.0364549E+00  9.5590364E+00  9.6047395E+00  2.7297829E+00  1.0378345E+00  1.0013310E+00  1.5442238E-03  
5.5637699E+00  3.7670380E-01  1.0371398E+00  9.5384798E+00  9.5856544E+00  2.7568686E+00  1.0385229E+00  1.0013336E+00  1.5232617E-03  
5.6740092E+00  3.7325016E-01  1.0378361E+00  9.5176249E+00  9.5663018E+00  2.7842527E+00  1.0392228E+00  1.0013361E+00  1.5024069E-03  
5.7865447E+00  3.6982818E-01  1.0385441E+00  9.4964692E+00  9.5466795E+00  2.8119391E+00  1.0399343E+00  1.0013386E+00  1.4816592E-03  
5.9014277E+00  3.6643757E-01  1.0392640E+00  9.4750103E+00  9.5267854E+00  2.8399319E+00  1.0406577E+00  1.0013411E+00  1.4610187E-03  
6.0187108E+00  3.6307805E-01  1.0399959E+00  9.4532458E+00  9.5066174E+00  2.8682350E+00  1.0413932E+00  1.0013435E+00  1.4404880E-03  
6.1384480E+00  3.5974934E-01  1.0407400E+00  9.4311731E+00  9.4861735E+00  2.8968526E+00  1.0421408E+00  1.0013460E+00  1.4200710E-03  
6.2606945E+00  3.5645113E-01  1.0414965E+00  9.4087901E+00  9.4654516E+00  2.9257889E+00  1.0429008E+00  1.0013484E+00  1.3997707E-03  
6.3855070E+00  3.5318317E-01  1.0422655E+00  9.3860943E+00  9.4444498E+00  2.9550482E+00  1.0436733E+00  1.0013507E+00  1.3795817E-03  
6.5129433E+00  3.4994517E-01  1.0430472E+00  9.3630836E+00  9.4231663E+00  2.9846348E+00  1.0444585E+00  1.0013531E+00  1.3594999E-03  
6.6430630E+00  3.4673685E-01  1.0438418E+00  9.3397559E+00  9.4015990E+00  3.0145530E+00  1.0452566E+00  1.0013554E+00  1.3395307E-03  
6.7759268E+00  3.4355795E-01  1.0446495E+00  9.3161089E+00  9.3797464E+00  3.0448074E+00  1.0460678E+00  1.0013577E+00  1.3196800E-03  
6.9115972E+00  3.4040819E-01  1.0454703E+00  9.2921406E+00  9.3576065E+00  3.0754024E+00  1.0468922E+00  1.0013600E+00  1.2999524E-03  
7.0501380E+00  3.3728731E-01  1.0463047E+00  9.2678492E+00  9.3351778E+00  3.1063427E+00  1.0477300E+00  1.0013622E+00  1.2803450E-03  
7.1916148E+00  3.3419504E-01  1.0471526E+00  9.2432326E+00  9.3124585E+00  3.1376329E+00  1.0485814E+00  1.0013645E+00  1.2608588E-03  
7.3360945E+00  3.3113112E-01  1.0480142E+00  9.2182890E+00  9.2894472E+00  3.1692779E+00  1.0494465E+00  1.0013667E+00  1.2414936E-03  
7.4836461E+00  3.2809529E-01  1.0488899E+00  9.1930168E+00  9.2661423E+00  3.2012823E+00  1.0503257E+00  1.0013688E+00  1.2222487E-03  
7.6343398E+00  3.2508730E-01  1.0497797E+00  9.1674142E+00  9.2425424E+00  3.2336512E+00  1.0512189E+00  1.0013710E+00  1.2031243E-03  
7.7882479E+00  3.2210688E-01  1.0506838E+00  9.1414796E+00  9.2186462E+00  3.2663894E+00  1.0521265E+00  1.0013731E+00  1.1841256E-03  
7.9454445E+00  3.1915379E-01  1.0516024E+00  9.1152116E+00  9.1944524E+00  3.2995021E+00  1.0530486E+00  1.0013752E+00  1.1652587E-03  
8.1060053E+00  3.1622777E-01  1.0525357E+00  9.0886087E+00  9.1699598E+00  3.3329943E+00  1.0539853E+00  1.0013773E+00  1.1465208E-03  
8.2700080E+00  3.1332857E-01  1.0534838E+00  9.0616697E+00  9.1451673E+00  3.3668713E+00  1.0549370E+00  1.0013794E+00  1.1279104E-03  
8.4375324E+00  3.1045596E-01  1.0544471E+00  9.0343934E+00  9.1200739E+00  3.4011384E+00  1.0559037E+00  1.0013814E+00  1.1094262E-03  
8.6086599E+00  3.0760968E-01  1.0554255E+00  9.0067786E+00  9.0946785E+00  3.4358010E+00  1.0568856E+00  1.0013834E+00  1.0910720E-03  
8.7834744E+00  3.0478950E-01  1.0564194E+00  8.9788244E+00  9.0689805E+00  3.4708644E+00  1.0578830E+00  1.0013854E+00  1.0728501E-03  
8.9620615E+00  3.0199517E-01  1.0574290E+00  8.9505299E+00  9.0429790E+00  3.5063343E+00  1.0588960E+00  1.0013874E+00  1.0547612E-03  
9.1445092E+00  2.9922646E-01  1.0584543E+00  8.9218943E+00  9.0166733E+00  3.5422163E+00  1.0599248E+00  1.0013893E+00  1.0368060E-03  
9.3309075E+00  2.9648314E-01  1.0594956E+00  8.8929169E+00  8.9900629E+00  3.5785160E+00  1.0609697E+00  1.0013913E+00  1.0189860E-03  
9.5213487E+00  2.9376497E-01  1.0605531E+00  8.8635973E+00  8.9631474E+00  3.6152393E+00  1.0620306E+00  1.0013932E+00  1.0013013E-03  
9.7159276E+00  2.9107171E-01  1.0616270E+00  8.8339351E+00  8.9359264E+00  3.6523921E+00  1.0631080E+00  1.0013950E+00  9.8375303E-04  
9.9147412E+00  2.8840315E-01  1.0627174E+00  8.8039300E+00  8.9083997E+00  3.6899803E+00  1.0642019E+00  1.0013969E+00  9.6634232E-04  
1.0117889E+01  2.8575905E-01  1.0638246E+00  8.7735818E+00  8.8805671E+00  3.7280100E+00  1.0653126E+00  1.0013987E+00  9.4907048E-04  
1.0325473E+01  2.8313920E-01  1.0649487E+00  8.7428905E+00  8.8524287E+00  3.7664873E+00  1.0664402E+00  1.0014005E+00  9.3193912E-04  
1.0537597E+01  2.8054336E-01  1.0660899E+00  8.7118564E+00  8.8239845E+00  3.8054186E+00  1.0675849E+00  1.0014023E+00  9.1494894E-04  
1.0754369E+01  2.7797133E-01  1.0672485E+00  8.6804797E+00  8.7952349E+00  3.8448101E+00  1.0687470E+00  1.0014041E+00  8.9810079E-04  
1.0975898E+01  2.7542287E-01  1.0684245E+00  8.6487608E+00  8.7661801E+00  3.8846682E+00  1.0699265E+00  1.0014058E+00  8.8139652E-04  
1.1202297E+01  2.7289778E-01  1.0696181E+00  8.6167003E+00  8.7368206E+00  3.9249995E+00  1.0711237E+00  1.0014075E+00  8.6483865E-04  
1.1433682E+01  2.7039584E-01  1.0708297E+00  8.5842989E+00  8.7071572E+00  3.9658107E+00  1.0723387E+00  1.0014092E+00  8.4842901E-04  
1.1670170E+01  2.6791683E-01  1.0720592E+00  8.5515577E+00  8.6771905E+00  4.0071084E+00  1.0735718E+00  1.0014109E+00  8.3216581E-04  
1.1911883E+01  2.6546056E-01  1.0733070E+00  8.5184776E+00  8.6469215E+00  4.0488994E+00  1.0748231E+00  1.0014125E+00  8.1604705E-04  
1.2158945E+01  2.6302680E-01  1.0745731E+00  8.4850599E+00  8.6163511E+00  4.0911906E+00  1.0760928E+00  1.0014142E+00  8.0007573E-04  
1.2411484E+01  2.6061535E-01  1.0758579E+00  8.4513060E+00  8.5854807E+00  4.1339891E+00  1.0773810E+00  1.0014158E+00  7.8425575E-04  
1.2669629E+01  2.5822602E-01  1.0771613E+00  8.4172174E+00  8.5543114E+00  4.1773020E+00  1.0786881E+00  1.0014174E+00  7.6859042E-04  
1.2933515E+01  2.5585859E-01  1.0784837E+00  8.3827960E+00  8.5228449E+00  4.2211364E+00  1.0800140E+00  1.0014189E+00  7.5307640E-04  
1.3203279E+01  2.5351286E-01  1.0798252E+00  8.3480437E+00  8.4910828E+00  4.2654997E+00  1.0813590E+00  1.0014205E+00  7.3771273E-04  
1.3479061E+01  2.5118864E-01  1.0811859E+00  8.3129626E+00  8.4590267E+00  4.3103993E+00  1.0827233E+00  1.0014220E+00  7.2250283E-04  
1.3761006E+01  2.4888573E-01  1.0825661E+00  8.2775550E+00  8.4266789E+00  4.3558426E+00  1.0841071E+00  1.0014235E+00  7.0744960E-04  
1.4049260E+01  2.4660393E-01  1.0839658E+00  8.2418235E+00  8.3940412E+00  4.4018373E+00  1.0855104E+00  1.0014250E+00  6.9255527E-04  
1.4343976E+01  2.4434306E-01  1.0853852E+00  8.2057706E+00  8.3611160E+00  4.4483910E+00  1.0869334E+00  1.0014264E+00  6.7781826E-04  
1.4645309E+01  2.4210290E-01  1.0868246E+00  8.1693994E+00  8.3279059E+00  4.4955116E+00  1.0883764E+00  1.0014278E+00  6.6323792E-04  
1.4953417E+01  2.3988329E-01  1.0882840E+00  8.1327128E+00  8.2944133E+00  4.5432070E+00  1.0898395E+00  1.0014293E+00  6.4881635E-04  
1.5268462E+01  2.3768403E-01  1.0897636E+00  8.0957143E+00  8.2606411E+00  4.5914852E+00  1.0913227E+00  1.0014306E+00  6.3455524E-04  
1.5590613E+01  2.3550493E-01  1.0912636E+00  8.0584072E+00  8.2265923E+00  4.6403543E+00  1.0928263E+00  1.0014320E+00  6.2045608E-04  
1.5920040E+01  2.3334581E-01  1.0927841E+00  8.0207953E+00  8.1922700E+00  4.6898225E+00  1.0943504E+00  1.0014334E+00  6.0651946E-04  
1.6256918E+01  2.3120648E-01  1.0943251E+00  7.9828825E+00  8.1576775E+00  4.7398981E+00  1.0958951E+00  1.0014347E+00  5.9274579E-04  
1.6601426E+01  2.2908677E-01  1.0958870E+00  7.9446729E+00  8.1228184E+00  4.7905895E+00  1.0974607E+00  1.0014360E+00  5.7913637E-04  
1.6953748E+01  2.2698649E-01  1.0974697E+00  7.9061709E+00  8.0876964E+00  4.8419052E+00  1.0990470E+00  1.0014373E+00  5.6569087E-04  
1.7314074E+01  2.2490546E-01  1.0990734E+00  7.8673809E+00  8.0523153E+00  4.8938539E+00  1.1006545E+00  1.0014385E+00  5.5241048E-04  
1.7682595E+01  2.2284351E-01  1.1006982E+00  7.8283078E+00  8.0166792E+00  4.9464442E+00  1.1022830E+00  1.0014398E+00  5.3929665E-04  
1.8059509E+01  2.2080047E-01  1.1023443E+00  7.7889565E+00  7.9807923E+00  4.9996849E+00  1.1039328E+00  1.0014410E+00  5.2635049E-04  
1.8445019E+01  2.1877616E-01  1.1040117E+00  7.7493322E+00  7.9446591E+00  5.0535850E+00  1.1056039E+00  1.0014422E+00  5.1357312E-04  
1.8839332E+01  2.1677041E-01  1.1057005E+00  7.7094403E+00  7.9082842E+00  5.1081534E+00  1.1072965E+00  1.0014434E+00  5.0096484E-04  
1.9242660E+01  2.1478305E-01  1.1074109E+00  7.6692864E+00  7.8716725E+00  5.1633992E+00  1.1090106E+00  1.0014446E+00  4.8852696E-04  
1.9655221E+01  2.1281390E-01  1.1091428E+00  7.6288765E+00  7.8348289E+00  5.2193316E+00  1.1107463E+00  1.0014457E+00  4.7625926E-04  
2.0077237E+01  2.1086281E-01  1.1108965E+00  7.5882165E+00  7.7977587E+00  5.2759600E+00  1.1125038E+00  1.0014468E+00  4.6416289E-04  
2.0508936E+01  2.0892961E-01  1.1126719E+00  7.5473127E+00  7.7604672E+00  5.3332936E+00  1.1142830E+00  1.0014479E+00  4.5223782E-04  
2.0950551E+01  2.0701413E-01  1.1144691E+00  7.5061717E+00  7.7229601E+00  5.3913419E+00  1.1160840E+00  1.0014490E+00  4.4048495E-04  
2.1402322E+01  2.0511622E-01  1.1162882E+00  7.4648001E+00  7.6852431E+00  5.4501145E+00  1.1179069E+00  1.0014501E+00  4.2890453E-04  
2.1864492E+01  2.0323570E-01  1.1181291E+00  7.4232050E+00  7.6473223E+00  5.5096209E+00  1.1197517E+00  1.0014511E+00  4.1749741E-04  
2.2337311E+01  2.0137242E-01  1.1199920E+00  7.3813934E+00  7.6092036E+00  5.5698710E+00  1.1216184E+00  1.0014522E+00  4.0626395E-04  
2.2821036E+01  1.9952623E-01  1.1218769E+00  7.3393727E+00  7.5708937E+00  5.6308745E+00  1.1235072E+00  1.0014532E+00  3.9520507E-04  
2.3315928E+01  1.9769696E-01  1.1237837E+00  7.2971506E+00  7.5323989E+00  5.6926412E+00  1.1254179E+00  1.0014541E+00  3.8432159E-04  
2.3822255E+01  1.9588447E-01  1.1257126E+00  7.2547348E+00  7.4937261E+00  5.7551812E+00  1.1273506E+00  1.0014551E+00  3.7361440E-04  
2.4340291E+01  1.9408859E-01  1.1276634E+00  7.2121332E+00  7.4548822E+00  5.8185044E+00  1.1293053E+00  1.0014561E+00  3.6308255E-04  
2.4870316E+01  1.9230917E-01  1.1296361E+00  7.1693543E+00  7.4158742E+00  5.8826210E+00  1.1312820E+00  1.0014570E+00  3.5272584E-04  
2.5412617E+01  1.9054607E-01  1.1316308E+00  7.1264063E+00  7.3767096E+00  5.9475410E+00  1.1332806E+00  1.0014579E+00  3.4254423E-04  
2.5967487E+01  1.8879913E-01  1.1336473E+00  7.0832978E+00  7.3373957E+00  6.0132748E+00  1.1353011E+00  1.0014588E+00  3.3253839E-04  
2.6535226E+01  1.8706821E-01  1.1356857E+00  7.0400378E+00  7.2979403E+00  6.0798325E+00  1.1373434E+00  1.0014597E+00  3.2270787E-04  
2.7116138E+01  1.8535316E-01  1.1377458E+00  6.9966351E+00  7.2583512E+00  6.1472246E+00  1.1394075E+00  1.0014605E+00  3.1305417E-04  
2.7710539E+01  1.8365383E-01  1.1398276E+00  6.9530991E+00  7.2186365E+00  6.2154614E+00  1.1414933E+00  1.0014613E+00  3.0357751E-04  
2.8318746E+01  1.8197009E-01  1.1419310E+00  6.9094391E+00  7.1788043E+00  6.2845533E+00  1.1436007E+00  1.0014622E+00  2.9427764E-04  
2.8941087E+01  1.8030177E-01  1.1440559E+00  6.8656646E+00  7.1388629E+00  6.3545109E+00  1.1457296E+00  1.0014630E+00  2.8515391E-04  
2.9577896E+01  1.7864876E-01  1.1462021E+00  6.8217855E+00  7.0988210E+00  6.4253445E+00  1.1478798E+00  1.0014637E+00  2.7620562E-04  
3.0229513E+01  1.7701090E-01  1.1483695E+00  6.7778116E+00  7.0586872E+00  6.4970649E+00  1.1500513E+00  1.0014645E+00  2.6743313E-04  
3.0896286E+01  1.7538805E-01  1.1505579E+00  6.7337530E+00  7.0184704E+00  6.5696825E+00  1.1522438E+00  1.0014652E+00  2.5883555E-04  
3.1578570E+01  1.7378008E-01  1.1527673E+00  6.6896200E+00  6.9781796E+00  6.6432079E+00  1.1544572E+00  1.0014660E+00  2.5041304E-04  
3.2276729E+01  1.7218686E-01  1.1549973E+00  6.6454230E+00  6.9378239E+00  6.7176518E+00  1.1566913E+00  1.0014667E+00  2.4216541E-04  
3.2991131E+01  1.7060824E-01  1.1572479E+00  6.6011726E+00  6.8974126E+00  6.7930247E+00  1.1589460E+00  1.0014674E+00  2.3409201E-04  
3.3722155E+01  1.6904409E-01  1.1595187E+00  6.5568794E+00  6.8569553E+00  6.8693373E+00  1.1612209E+00  1.0014680E+00  2.2619220E-04  
3.4470185E+01  1.6749429E-01  1.1618095E+00  6.5125542E+00  6.8164614E+00  6.9466003E+00  1.1635159E+00  1.0014687E+00  2.1846525E-04  
3.5235615E+01  1.6595869E-01  1.1641201E+00  6.4682081E+00  6.7759406E+00  7.0248242E+00  1.1658306E+00  1.0014693E+00  2.1091015E-04  
3.6018844E+01  1.6443717E-01  1.1664502E+00  6.4238521E+00  6.7354028E+00  7.1040195E+00  1.1681649E+00  1.0014700E+00  2.0352583E-04  
3.6820282E+01  1.6292960E-01  1.1687996E+00  6.3794975E+00  6.6948580E+00  7.1841970E+00  1.1705184E+00  1.0014706E+00  1.9631116E-04  
3.7640343E+01  1.6143586E-01  1.1711678E+00  6.3351554E+00  6.6543162E+00  7.2653672E+00  1.1728908E+00  1.0014712E+00  1.8926631E-04  
3.8479451E+01  1.5995580E-01  1.1735546E+00  6.2908374E+00  6.6137874E+00  7.3475404E+00  1.1752817E+00  1.0014717E+00  1.8239070E-04  
3.9338039E+01  1.5848932E-01  1.1759595E+00  6.2465548E+00  6.5732821E+00  7.4307273E+00  1.1776909E+00  1.0014723E+00  1.7568328E-04  
4.0216545E+01  1.5703628E-01  1.1783824E+00  6.2023193E+00  6.5328104E+00  7.5149382E+00  1.1801179E+00  1.0014728E+00  1.6914229E-04  
4.1115418E+01  1.5559656E-01  1.1808226E+00  6.1581425E+00  6.4923829E+00  7.6001834E+00  1.1825624E+00  1.0014734E+00  1.6276622E-04  
4.2035112E+01  1.5417005E-01  1.1832799E+00  6.1140361E+00  6.4520100E+00  7.6864732E+00  1.1850239E+00  1.0014739E+00  1.5655386E-04  
4.2976091E+01  1.5275661E-01  1.1857538E+00  6.0700119E+00  6.4117023E+00  7.7738179E+00  1.1875020E+00  1.0014744E+00  1.5050310E-04  
4.3938827E+01  1.5135612E-01  1.1882438E+00  6.0260816E+00  6.3714704E+00  7.8622275E+00  1.1899963E+00  1.0014749E+00  1.4461307E-04  
4.4923798E+01  1.4996848E-01  1.1907494E+00  5.9822570E+00  6.3313249E+00  7.9517120E+00  1.1925062E+00  1.0014753E+00  1.3888282E-04  
4.5931493E+01  1.4859356E-01  1.1932702E+00  5.9385501E+00  6.2912767E+00  8.0422814E+00  1.1950313E+00  1.0014758E+00  1.3331082E-04  
4.6962406E+01  1.4723125E-01  1.1958057E+00  5.8949727E+00  6.2513363E+00  8.1339455E+00  1.1975710E+00  1.0014762E+00  1.2789544E-04  
4.8017040E+01  1.4588143E-01  1.1983552E+00  5.8515366E+00  6.2115145E+00  8.2267138E+00  1.2001247E+00  1.0014767E+00  1.2263496E-04  
4.9095907E+01  1.4454398E-01  1.2009182E+00  5.8082537E+00  6.1718222E+00  8.3205960E+00  1.2026920E+00  1.0014771E+00  1.1752745E-04  
5.0199525E+01  1.4321879E-01  1.2034941E+00  5.7651359E+00  6.1322701E+00  8.4156015E+00  1.2052723E+00  1.0014775E+00  1.1257066E-04  
5.1328422E+01  1.4190575E-01  1.2060824E+00  5.7221948E+00  6.0928689E+00  8.5117395E+00  1.2078648E+00  1.0014779E+00  1.0776254E-04  
5.2483130E+01  1.4060475E-01  1.2086823E+00  5.6794425E+00  6.0536295E+00  8.6090191E+00  1.2104690E+00  1.0014782E+00  1.0310141E-04  
5.3664193E+01  1.3931568E-01  1.2112932E+00  5.6368904E+00  6.0145625E+00  8.7074492E+00  1.2130842E+00  1.0014786E+00  9.8587017E-05  
5.4872161E+01  1.3803843E-01  1.2139144E+00  5.5945503E+00  5.9756787E+00  8.8070385E+00  1.2157097E+00  1.0014789E+00  9.4215623E-05  
5.6107589E+01  1.3677288E-01  1.2165453E+00  5.5524338E+00  5.9369886E+00  8.9077957E+00  1.2183449E+00  1.0014793E+00  8.9985160E-05  
5.7371044E+01  1.3551894E-01  1.2191851E+00  5.5105524E+00  5.8985030E+00  9.0097291E+00  1.2209889E+00  1.0014796E+00  8.5892617E-05  
5.8663096E+01  1.3427650E-01  1.2218330E+00  5.4689174E+00  5.8602322E+00  9.1128468E+00  1.2236411E+00  1.0014799E+00  8.1936654E-05  
5.9984325E+01  1.3304544E-01  1.2244882E+00  5.4275402E+00  5.8221869E+00  9.2171568E+00  1.2263007E+00  1.0014802E+00  7.8115009E-05  
6.1335317E+01  1.3182567E-01  1.2271501E+00  5.3864320E+00  5.7843773E+00  9.3226668E+00  1.2289668E+00  1.0014805E+00  7.4425515E-05  
6.2716666E+01  1.3061709E-01  1.2298177E+00  5.3456038E+00  5.7468138E+00  9.4293843E+00  1.2316387E+00  1.0014807E+00  7.0865953E-05  
6.4128971E+01  1.2941958E-01  1.2324902E+00  5.3050665E+00  5.7095064E+00  9.5373166E+00  1.2343156E+00  1.0014810E+00  6.7433936E-05  
6.5572840E+01  1.2823306E-01  1.2351668E+00  5.2648309E+00  5.6724653E+00  9.6464707E+00  1.2369964E+00  1.0014813E+00  6.4126613E-05  
6.7048885E+01  1.2705741E-01  1.2378466E+00  5.2249076E+00  5.6357004E+00  9.7568533E+00  1.2396805E+00  1.0014815E+00  6.0941031E-05  
6.8557727E+01  1.2589254E-01  1.2405288E+00  5.1853071E+00  5.5992215E+00  9.8684710E+00  1.2423669E+00  1.0014817E+00  5.7874943E-05  
7.0099992E+01  1.2473835E-01  1.2432123E+00  5.1460395E+00  5.5630381E+00  9.9813300E+00  1.2450547E+00  1.0014820E+00  5.4926311E-05  
7.1676312E+01  1.2359474E-01  1.2458962E+00  5.1071149E+00  5.5271599E+00  1.0095436E+01  1.2477429E+00  1.0014822E+00  5.2092564E-05  
7.3287326E+01  1.2246162E-01  1.2485797E+00  5.0685433E+00  5.4915961E+00  1.0210796E+01  1.2504306E+00  1.0014824E+00  4.9370930E-05  
7.4933678E+01  1.2133889E-01  1.2512617E+00  5.0303342E+00  5.4563559E+00  1.0327413E+01  1.2531168E+00  1.0014826E+00  4.6758511E-05  
7.6616017E+01  1.2022644E-01  1.2539413E+00  4.9924971E+00  5.4214482E+00  1.0445295E+01  1.2558006E+00  1.0014828E+00  4.4252739E-05  
7.8335001E+01  1.1912420E-01  1.2566175E+00  4.9550411E+00  5.3868818E+00  1.0564444E+01  1.2584810E+00  1.0014829E+00  4.1850986E-05  
8.0091289E+01  1.1803206E-01  1.2592892E+00  4.9179752E+00  5.3526653E+00  1.0684867E+01  1.2611569E+00  1.0014831E+00  3.9550497E-05  
8.1885547E+01  1.1694994E-01  1.2619555E+00  4.8813082E+00  5.3188069E+00  1.0806567E+01  1.2638273E+00  1.0014833E+00  3.7348857E-05  
8.3718448E+01  1.1587774E-01  1.2646153E+00  4.8450484E+00  5.2853149E+00  1.0929548E+01  1.2664913E+00  1.0014834E+00  3.5243534E-05  
8.5590667E+01  1.1481536E-01  1.2672676E+00  4.8092040E+00  5.2521970E+00  1.1053814E+01  1.2691477E+00  1.0014836E+00  3.3231718E-05  
8.7502887E+01  1.1376273E-01  1.2699113E+00  4.7737830E+00  5.2194610E+00  1.1179369E+01  1.2717955E+00  1.0014837E+00  3.1310510E-05  
8.9455792E+01  1.1271975E-01  1.2725454E+00  4.7387929E+00  5.1871142E+00  1.1306215E+01  1.2744337E+00  1.0014838E+00  2.9477096E-05  
9.1450074E+01  1.1168632E-01  1.2751689E+00  4.7042410E+00  5.1551637E+00  1.1434356E+01  1.2770612E+00  1.0014840E+00  2.7729127E-05  
9.3486428E+01  1.1066238E-01  1.2777805E+00  4.6701344E+00  5.1236165E+00  1.1563793E+01  1.2796769E+00  1.0014841E+00  2.6064287E-05  
9.5565554E+01  1.0964782E-01  1.2803794E+00  4.6364798E+00  5.0924791E+00  1.1694530E+01  1.2822797E+00  1.0014842E+00  2.4479629E-05  
9.7688155E+01  1.0864256E-01  1.2829644E+00  4.6032837E+00  5.0617578E+00  1.1826568E+01  1.2848687E+00  1.0014843E+00  2.2972300E-05  
9.9854941E+01  1.0764652E-01  1.2855344E+00  4.5705520E+00  5.0314587E+00  1.1959910E+01  1.2874427E+00  1.0014844E+00  2.1539439E-05  
1.0206662E+02  1.0665961E-01  1.2880885E+00  4.5382905E+00  5.0015875E+00  1.2094556E+01  1.2900006E+00  1.0014845E+00  2.0178822E-05  
1.0432392E+02  1.0568175E-01  1.2906254E+00  4.5065048E+00  4.9721496E+00  1.2230508E+01  1.2925415E+00  1.0014846E+00  1.8888130E-05  
1.0662756E+02  1.0471285E-01  1.2931443E+00  4.4751998E+00  4.9431502E+00  1.2367767E+01  1.2950641E+00  1.0014846E+00  1.7664861E-05  
1.0897825E+02  1.0375284E-01  1.2956439E+00  4.4443804E+00  4.9145941E+00  1.2506333E+01  1.2975676E+00  1.0014847E+00  1.6506249E-05  
1.1137674E+02  1.0280163E-01  1.2981234E+00  4.4140509E+00  4.8864857E+00  1.2646209E+01  1.3000509E+00  1.0014848E+00  1.5409917E-05  
1.1382375E+02  1.0185914E-01  1.3005816E+00  4.3842154E+00  4.8588292E+00  1.2787393E+01  1.3025128E+00  1.0014849E+00  1.4373426E-05  
1.1632003E+02  1.0092529E-01  1.3030176E+00  4.3548777E+00  4.8316286E+00  1.2929887E+01  1.3049525E+00  1.0014849E+00  1.3394389E-05  
1.1886632E+02  1.0000000E-01  1.3054304E+00  4.3260411E+00  4.8048872E+00  1.3073689E+01  1.3073689E+00  1.0014850E+00  1.2470470E-05  
1.2146337E+02  9.9083194E-02  1.3078189E+00  4.2977086E+00  4.7786084E+00  1.3218802E+01  1.3097611E+00  1.0014850E+00  1.1599440E-05  
1.2411194E+02  9.8174794E-02  1.3101823E+00  4.2698828E+00  4.7527950E+00  1.3365223E+01  1.3121280E+00  1.0014851E+00  1.0779066E-05  
1.2681277E+02  9.7274722E-02  1.3125195E+00  4.2425662E+00  4.7274494E+00  1.3512953E+01  1.3144688E+00  1.0014851E+00  1.0007138E-05  
1.2956665E+02  9.6382902E-02  1.3148297E+00  4.2157605E+00  4.7025739E+00  1.3661992E+01  1.3167825E+00  1.0014852E+00  9.2815080E-06  
1.3237434E+02  9.5499259E-02  1.3171119E+00  4.1894674E+00  4.6781703E+00  1.3812339E+01  1.3190681E+00  1.0014852E+00  8.6000458E-06  
1.3523662E+02  9.4623716E-02  1.3193654E+00  4.1636881E+00  4.6542402E+00  1.3963994E+01  1.3213250E+00  1.0014853E+00  7.9606562E-06  
1.3815426E+02  9.3756201E-02  1.3215892E+00  4.1384234E+00  4.6307846E+00  1.4116956E+01  1.3235521E+00  1.0014853E+00  7.3613665E-06  
