# interacting QED pressure, [p^{(n)}] = MeV^4 (n = order of perturbative correction)
# results from Escudero, Jackson, Laine and Sandner ArXiv:2511.XXXXX with me = 0.51099895 MeV, alpha = 1/137.035999084
# columns: T_ga [MeV],   p^{(0)},   p^{(2)non-log},   p^{(2)log},   p^{(3)},   p^{(4)},   p^{(5)}
 0.000000000000e+00   +0.000000000000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00   +0.0000e+00
 5.000000000000e-03   +1.370778389040e-10   -5.0742e-56   +4.0922e-98   +5.3241e-76   -1.8375e-15   -2.4336e-16
 5.004496068067e-03   +1.375715533727e-10   -5.5797e-56   +4.9259e-98   +6.1200e-76   -1.8442e-15   -2.4423e-16
 5.008996179059e-03   +1.380670460572e-10   -6.1351e-56   +5.9285e-98   +7.0341e-76   -1.8508e-15   -2.4511e-16
 5.013500336613e-03   +1.385643233621e-10   -6.7452e-56   +7.1340e-98   +8.0836e-76   -1.8575e-15   -2.4599e-16
 5.018008544366e-03   +1.390633917151e-10   -7.4153e-56   +8.5832e-98   +9.2886e-76   -1.8642e-15   -2.4688e-16
 5.022520805962e-03   +1.395642575670e-10   -8.1513e-56   +1.0325e-97   +1.0672e-75   -1.8709e-15   -2.4777e-16
 5.027037125044e-03   +1.400669273919e-10   -8.9597e-56   +1.2418e-97   +1.2260e-75   -1.8776e-15   -2.4866e-16
 5.031557505262e-03   +1.405714076871e-10   -9.8474e-56   +1.4934e-97   +1.4082e-75   -1.8844e-15   -2.4956e-16
 5.036081950267e-03   +1.410777049735e-10   -1.0822e-55   +1.7956e-97   +1.6173e-75   -1.8912e-15   -2.5046e-16
 5.040610463715e-03   +1.415858257953e-10   -1.1892e-55   +2.1585e-97   +1.8573e-75   -1.8980e-15   -2.5136e-16
 5.045143049263e-03   +1.420957767204e-10   -1.3067e-55   +2.5945e-97   +2.1326e-75   -1.9048e-15   -2.5226e-16
 5.049679710575e-03   +1.426075643403e-10   -1.4358e-55   +3.1179e-97   +2.4484e-75   -1.9117e-15   -2.5317e-16
 5.054220451314e-03   +1.431211952702e-10   -1.5774e-55   +3.7464e-97   +2.8106e-75   -1.9186e-15   -2.5408e-16
 5.058765275149e-03   +1.436366761491e-10   -1.7328e-55   +4.5007e-97   +3.2260e-75   -1.9255e-15   -2.5500e-16
 5.063314185751e-03   +1.441540136401e-10   -1.9034e-55   +5.4062e-97   +3.7023e-75   -1.9324e-15   -2.5592e-16
 5.067867186796e-03   +1.446732144302e-10   -2.0906e-55   +6.4927e-97   +4.2485e-75   -1.9394e-15   -2.5684e-16
 5.072424281961e-03   +1.451942852303e-10   -2.2961e-55   +7.7963e-97   +4.8746e-75   -1.9464e-15   -2.5777e-16
 5.076985474928e-03   +1.457172327758e-10   -2.5215e-55   +9.3600e-97   +5.5923e-75   -1.9534e-15   -2.5869e-16
 5.081550769382e-03   +1.462420638261e-10   -2.7688e-55   +1.1236e-96   +6.4149e-75   -1.9604e-15   -2.5963e-16
 5.086120169011e-03   +1.467687851650e-10   -3.0402e-55   +1.3485e-96   +7.3577e-75   -1.9675e-15   -2.6056e-16
 5.090693677506e-03   +1.472974036009e-10   -3.3378e-55   +1.6182e-96   +8.4379e-75   -1.9745e-15   -2.6150e-16
 5.095271298563e-03   +1.478279259664e-10   -3.6643e-55   +1.9415e-96   +9.6755e-75   -1.9817e-15   -2.6244e-16
 5.099853035878e-03   +1.483603591191e-10   -4.0225e-55   +2.3291e-96   +1.1093e-74   -1.9888e-15   -2.6338e-16
 5.104438893154e-03   +1.488947099410e-10   -4.4153e-55   +2.7935e-96   +1.2718e-74   -1.9960e-15   -2.6433e-16
 5.109028874096e-03   +1.494309853390e-10   -4.8460e-55   +3.3500e-96   +1.4578e-74   -2.0031e-15   -2.6529e-16
 5.113622982410e-03   +1.499691922448e-10   -5.3184e-55   +4.0168e-96   +1.6708e-74   -2.0104e-15   -2.6624e-16
 5.118221221810e-03   +1.505093376152e-10   -5.8363e-55   +4.8155e-96   +1.9147e-74   -2.0176e-15   -2.6720e-16
 5.122823596009e-03   +1.510514284320e-10   -6.4041e-55   +5.7720e-96   +2.1939e-74   -2.0249e-15   -2.6816e-16
 5.127430108725e-03   +1.515954717021e-10   -7.0266e-55   +6.9174e-96   +2.5136e-74   -2.0322e-15   -2.6913e-16
 5.132040763681e-03   +1.521414744577e-10   -7.7090e-55   +8.2888e-96   +2.8795e-74   -2.0395e-15   -2.7010e-16
 5.136655564600e-03   +1.526894437563e-10   -8.4569e-55   +9.9305e-96   +3.2982e-74   -2.0468e-15   -2.7107e-16
 5.141274515211e-03   +1.532393866807e-10   -9.2767e-55   +1.1895e-95   +3.7774e-74   -2.0542e-15   -2.7205e-16
 5.145897619245e-03   +1.537913103394e-10   -1.0175e-54   +1.4247e-95   +4.3257e-74   -2.0616e-15   -2.7303e-16
 5.150524880437e-03   +1.543452218665e-10   -1.1160e-54   +1.7061e-95   +4.9531e-74   -2.0690e-15   -2.7401e-16
 5.155156302526e-03   +1.549011284217e-10   -1.2239e-54   +2.0426e-95   +5.6707e-74   -2.0765e-15   -2.7500e-16
 5.159791889252e-03   +1.554590371904e-10   -1.3421e-54   +2.4452e-95   +6.4914e-74   -2.0839e-15   -2.7599e-16
 5.164431644361e-03   +1.560189553841e-10   -1.4716e-54   +2.9267e-95   +7.4301e-74   -2.0915e-15   -2.7698e-16
 5.169075571601e-03   +1.565808902401e-10   -1.6135e-54   +3.5025e-95   +8.5035e-74   -2.0990e-15   -2.7798e-16
 5.173723674724e-03   +1.571448490218e-10   -1.7689e-54   +4.1908e-95   +9.7308e-74   -2.1065e-15   -2.7898e-16
 5.178375957484e-03   +1.577108390189e-10   -1.9391e-54   +5.0136e-95   +1.1134e-73   -2.1141e-15   -2.7999e-16
 5.183032423640e-03   +1.582788675473e-10   -2.1255e-54   +5.9970e-95   +1.2738e-73   -2.1217e-15   -2.8099e-16
 5.187693076954e-03   +1.588489419490e-10   -2.3297e-54   +7.1721e-95   +1.4571e-73   -2.1294e-15   -2.8201e-16
 5.192357921191e-03   +1.594210695927e-10   -2.5533e-54   +8.5762e-95   +1.6666e-73   -2.1371e-15   -2.8302e-16
 5.197026960119e-03   +1.599952578736e-10   -2.7982e-54   +1.0253e-94   +1.9060e-73   -2.1448e-15   -2.8404e-16
 5.201700197511e-03   +1.605715142136e-10   -3.0662e-54   +1.2257e-94   +2.1795e-73   -2.1525e-15   -2.8506e-16
 5.206377637141e-03   +1.611498460611e-10   -3.3597e-54   +1.4649e-94   +2.4920e-73   -2.1602e-15   -2.8609e-16
 5.211059282789e-03   +1.617302608916e-10   -3.6810e-54   +1.7506e-94   +2.8490e-73   -2.1680e-15   -2.8712e-16
 5.215745138236e-03   +1.623127662073e-10   -4.0327e-54   +2.0916e-94   +3.2567e-73   -2.1758e-15   -2.8815e-16
 5.220435207269e-03   +1.628973695376e-10   -4.4176e-54   +2.4987e-94   +3.7223e-73   -2.1837e-15   -2.8919e-16
 5.225129493675e-03   +1.634840784389e-10   -4.8389e-54   +2.9846e-94   +4.2539e-73   -2.1915e-15   -2.9024e-16
 5.229828001247e-03   +1.640729004949e-10   -5.2999e-54   +3.5643e-94   +4.8610e-73   -2.1994e-15   -2.9128e-16
 5.234530733782e-03   +1.646638433165e-10   -5.8045e-54   +4.2560e-94   +5.5539e-73   -2.2073e-15   -2.9233e-16
 5.239237695077e-03   +1.652569145421e-10   -6.3565e-54   +5.0811e-94   +6.3449e-73   -2.2153e-15   -2.9338e-16
 5.243948888936e-03   +1.658521218375e-10   -6.9605e-54   +6.0653e-94   +7.2478e-73   -2.2233e-15   -2.9444e-16
 5.248664319165e-03   +1.664494728964e-10   -7.6213e-54   +7.2388e-94   +8.2781e-73   -2.2313e-15   -2.9550e-16
 5.253383989573e-03   +1.670489754399e-10   -8.3442e-54   +8.6382e-94   +9.4537e-73   -2.2393e-15   -2.9656e-16
 5.258107903973e-03   +1.676506372170e-10   -9.1349e-54   +1.0306e-93   +1.0795e-72   -2.2474e-15   -2.9763e-16
 5.262836066181e-03   +1.682544660047e-10   -9.9998e-54   +1.2295e-93   +1.2325e-72   -2.2555e-15   -2.9870e-16
 5.267568480016e-03   +1.688604696079e-10   -1.0946e-53   +1.4665e-93   +1.4071e-72   -2.2636e-15   -2.9978e-16
 5.272305149303e-03   +1.694686558596e-10   -1.1980e-53   +1.7488e-93   +1.6062e-72   -2.2717e-15   -3.0086e-16
 5.277046077867e-03   +1.700790326212e-10   -1.3111e-53   +2.0853e-93   +1.8332e-72   -2.2799e-15   -3.0194e-16
 5.281791269539e-03   +1.706916077821e-10   -1.4348e-53   +2.4860e-93   +2.0921e-72   -2.2881e-15   -3.0303e-16
 5.286540728151e-03   +1.713063892604e-10   -1.5700e-53   +2.9633e-93   +2.3872e-72   -2.2964e-15   -3.0412e-16
 5.291294457542e-03   +1.719233850027e-10   -1.7179e-53   +3.5318e-93   +2.7237e-72   -2.3047e-15   -3.0522e-16
 5.296052461550e-03   +1.725426029840e-10   -1.8795e-53   +4.2085e-93   +3.1072e-72   -2.3129e-15   -3.0632e-16
 5.300814744021e-03   +1.731640512082e-10   -2.0561e-53   +5.0142e-93   +3.5443e-72   -2.3213e-15   -3.0742e-16
 5.305581308801e-03   +1.737877377079e-10   -2.2492e-53   +5.9732e-93   +4.0425e-72   -2.3296e-15   -3.0853e-16
 5.310352159741e-03   +1.744136705449e-10   -2.4603e-53   +7.1145e-93   +4.6101e-72   -2.3380e-15   -3.0964e-16
 5.315127300695e-03   +1.750418578097e-10   -2.6909e-53   +8.4726e-93   +5.2568e-72   -2.3465e-15   -3.1075e-16
 5.319906735520e-03   +1.756723076222e-10   -2.9429e-53   +1.0088e-92   +5.9935e-72   -2.3549e-15   -3.1187e-16
 5.324690468079e-03   +1.763050281314e-10   -3.2182e-53   +1.2010e-92   +6.8327e-72   -2.3634e-15   -3.1300e-16
 5.329478502235e-03   +1.769400275156e-10   -3.5191e-53   +1.4296e-92   +7.7885e-72   -2.3719e-15   -3.1412e-16
 5.334270841856e-03   +1.775773139827e-10   -3.8478e-53   +1.7015e-92   +8.8770e-72   -2.3804e-15   -3.1525e-16
 5.339067490815e-03   +1.782168957702e-10   -4.2068e-53   +2.0247e-92   +1.0116e-71   -2.3890e-15   -3.1639e-16
 5.343868452985e-03   +1.788587811451e-10   -4.5990e-53   +2.4089e-92   +1.1528e-71   -2.3976e-15   -3.1753e-16
 5.348673732246e-03   +1.795029784042e-10   -5.0274e-53   +2.8656e-92   +1.3134e-71   -2.4063e-15   -3.1867e-16
 5.353483332480e-03   +1.801494958743e-10   -5.4952e-53   +3.4084e-92   +1.4962e-71   -2.4149e-15   -3.1982e-16
 5.358297257571e-03   +1.807983419121e-10   -6.0061e-53   +4.0534e-92   +1.7044e-71   -2.4236e-15   -3.2097e-16
 5.363115511410e-03   +1.814495249044e-10   -6.5640e-53   +4.8196e-92   +1.9412e-71   -2.4324e-15   -3.2213e-16
 5.367938097888e-03   +1.821030532683e-10   -7.1732e-53   +5.7299e-92   +2.2107e-71   -2.4411e-15   -3.2329e-16
 5.372765020901e-03   +1.827589354511e-10   -7.8383e-53   +6.8110e-92   +2.5173e-71   -2.4499e-15   -3.2445e-16
 5.377596284350e-03   +1.834171799306e-10   -8.5645e-53   +8.0948e-92   +2.8661e-71   -2.4587e-15   -3.2562e-16
 5.382431892136e-03   +1.840777952151e-10   -9.3572e-53   +9.6192e-92   +3.2629e-71   -2.4676e-15   -3.2680e-16
 5.387271848166e-03   +1.847407898435e-10   -1.0222e-52   +1.1429e-91   +3.7142e-71   -2.4765e-15   -3.2797e-16
 5.392116156351e-03   +1.854061723855e-10   -1.1167e-52   +1.3577e-91   +4.2273e-71   -2.4854e-15   -3.2915e-16
 5.396964820604e-03   +1.860739514418e-10   -1.2198e-52   +1.6126e-91   +4.8109e-71   -2.4943e-15   -3.3034e-16
 5.401817844842e-03   +1.867441356438e-10   -1.3323e-52   +1.9151e-91   +5.4744e-71   -2.5033e-15   -3.3153e-16
 5.406675232985e-03   +1.874167336541e-10   -1.4550e-52   +2.2740e-91   +6.2286e-71   -2.5123e-15   -3.3272e-16
 5.411536988957e-03   +1.880917541668e-10   -1.5889e-52   +2.6998e-91   +7.0860e-71   -2.5214e-15   -3.3392e-16
 5.416403116687e-03   +1.887692059067e-10   -1.7351e-52   +3.2047e-91   +8.0605e-71   -2.5305e-15   -3.3512e-16
 5.421273620105e-03   +1.894490976306e-10   -1.8945e-52   +3.8036e-91   +9.1679e-71   -2.5396e-15   -3.3633e-16
 5.426148503146e-03   +1.901314381266e-10   -2.0684e-52   +4.5136e-91   +1.0426e-70   -2.5487e-15   -3.3754e-16
 5.431027769749e-03   +1.908162362144e-10   -2.2581e-52   +5.3554e-91   +1.1856e-70   -2.5579e-15   -3.3876e-16
 5.435911423854e-03   +1.915035007455e-10   -2.4651e-52   +6.3532e-91   +1.3480e-70   -2.5671e-15   -3.3998e-16
 5.440799469407e-03   +1.921932406034e-10   -2.6908e-52   +7.5358e-91   +1.5326e-70   -2.5764e-15   -3.4120e-16
 5.445691910358e-03   +1.928854647035e-10   -2.9369e-52   +8.9372e-91   +1.7421e-70   -2.5857e-15   -3.4243e-16
 5.450588750658e-03   +1.935801819933e-10   -3.2053e-52   +1.0598e-90   +1.9801e-70   -2.5950e-15   -3.4366e-16
 5.455489994264e-03   +1.942774014524e-10   -3.4980e-52   +1.2564e-90   +2.2504e-70   -2.6043e-15   -3.4490e-16
 5.460395645134e-03   +1.949771320931e-10   -3.8171e-52   +1.4894e-90   +2.5572e-70   -2.6137e-15   -3.4614e-16
 5.465305707233e-03   +1.956793829599e-10   -4.1650e-52   +1.7653e-90   +2.9056e-70   -2.6231e-15   -3.4739e-16
 5.470220184526e-03   +1.963841631298e-10   -4.5442e-52   +2.0920e-90   +3.3010e-70   -2.6326e-15   -3.4864e-16
 5.475139080984e-03   +1.970914817127e-10   -4.9576e-52   +2.4788e-90   +3.7498e-70   -2.6420e-15   -3.4990e-16
 5.480062400581e-03   +1.978013478513e-10   -5.4082e-52   +2.9366e-90   +4.2592e-70   -2.6515e-15   -3.5116e-16
 5.484990147294e-03   +1.985137707210e-10   -5.8994e-52   +3.4785e-90   +4.8372e-70   -2.6611e-15   -3.5242e-16
 5.489922325103e-03   +1.992287595304e-10   -6.4346e-52   +4.1198e-90   +5.4931e-70   -2.6707e-15   -3.5369e-16
 5.494858937994e-03   +1.999463235215e-10   -7.0179e-52   +4.8785e-90   +6.2372e-70   -2.6803e-15   -3.5497e-16
 5.499799989955e-03   +2.006664719691e-10   -7.6535e-52   +5.7761e-90   +7.0813e-70   -2.6900e-15   -3.5624e-16
 5.504745484977e-03   +2.013892141817e-10   -8.3461e-52   +6.8378e-90   +8.0386e-70   -2.6996e-15   -3.5753e-16
 5.509695427055e-03   +2.021145595014e-10   -9.1006e-52   +8.0935e-90   +9.1244e-70   -2.7094e-15   -3.5882e-16
 5.514649820189e-03   +2.028425173038e-10   -9.9225e-52   +9.5783e-90   +1.0356e-69   -2.7191e-15   -3.6011e-16
 5.519608668380e-03   +2.035730969983e-10   -1.0818e-51   +1.1334e-89   +1.1752e-69   -2.7289e-15   -3.6141e-16
 5.524571975635e-03   +2.043063080281e-10   -1.1793e-51   +1.3409e-89   +1.3335e-69   -2.7388e-15   -3.6271e-16
 5.529539745964e-03   +2.050421598706e-10   -1.2856e-51   +1.5862e-89   +1.5129e-69   -2.7486e-15   -3.6401e-16
 5.534511983379e-03   +2.057806620372e-10   -1.4012e-51   +1.8761e-89   +1.7163e-69   -2.7585e-15   -3.6532e-16
 5.539488691898e-03   +2.065218240736e-10   -1.5272e-51   +2.2186e-89   +1.9468e-69   -2.7684e-15   -3.6664e-16
 5.544469875541e-03   +2.072656555599e-10   -1.6644e-51   +2.6233e-89   +2.2080e-69   -2.7784e-15   -3.6796e-16
 5.549455538332e-03   +2.080121661106e-10   -1.8138e-51   +3.1013e-89   +2.5041e-69   -2.7884e-15   -3.6929e-16
 5.554445684299e-03   +2.087613653751e-10   -1.9765e-51   +3.6659e-89   +2.8394e-69   -2.7985e-15   -3.7062e-16
 5.559440317473e-03   +2.095132630371e-10   -2.1536e-51   +4.3326e-89   +3.2193e-69   -2.8085e-15   -3.7195e-16
 5.564439441890e-03   +2.102678688157e-10   -2.3463e-51   +5.1198e-89   +3.6497e-69   -2.8187e-15   -3.7329e-16
 5.569443061587e-03   +2.110251924646e-10   -2.5561e-51   +6.0491e-89   +4.1371e-69   -2.8288e-15   -3.7464e-16
 5.574451180606e-03   +2.117852437728e-10   -2.7845e-51   +7.1461e-89   +4.6891e-69   -2.8390e-15   -3.7598e-16
 5.579463802995e-03   +2.125480325645e-10   -3.0331e-51   +8.4408e-89   +5.3141e-69   -2.8492e-15   -3.7734e-16
 5.584480932802e-03   +2.133135686994e-10   -3.3036e-51   +9.9685e-89   +6.0219e-69   -2.8595e-15   -3.7870e-16
 5.589502574081e-03   +2.140818620725e-10   -3.5979e-51   +1.1771e-88   +6.8230e-69   -2.8698e-15   -3.8006e-16
 5.594528730887e-03   +2.148529226148e-10   -3.9183e-51   +1.3897e-88   +7.7300e-69   -2.8801e-15   -3.8143e-16
 5.599559407283e-03   +2.156267602926e-10   -4.2668e-51   +1.6406e-88   +8.7565e-69   -2.8905e-15   -3.8280e-16
 5.604594607331e-03   +2.164033851085e-10   -4.6459e-51   +1.9363e-88   +9.9182e-69   -2.9009e-15   -3.8418e-16
 5.609634335099e-03   +2.171828071008e-10   -5.0584e-51   +2.2851e-88   +1.1233e-68   -2.9114e-15   -3.8557e-16
 5.614678594659e-03   +2.179650363443e-10   -5.5071e-51   +2.6963e-88   +1.2720e-68   -2.9218e-15   -3.8695e-16
 5.619727390086e-03   +2.187500829498e-10   -5.9952e-51   +3.1811e-88   +1.4403e-68   -2.9324e-15   -3.8835e-16
 5.624780725459e-03   +2.195379570645e-10   -6.5260e-51   +3.7524e-88   +1.6307e-68   -2.9429e-15   -3.8975e-16
 5.629838604860e-03   +2.203286688725e-10   -7.1033e-51   +4.4257e-88   +1.8460e-68   -2.9535e-15   -3.9115e-16
 5.634901032374e-03   +2.211222285942e-10   -7.7312e-51   +5.2190e-88   +2.0895e-68   -2.9642e-15   -3.9256e-16
 5.639968012093e-03   +2.219186464871e-10   -8.4139e-51   +6.1537e-88   +2.3649e-68   -2.9748e-15   -3.9397e-16
 5.645039548108e-03   +2.227179328453e-10   -9.1562e-51   +7.2546e-88   +2.6763e-68   -2.9856e-15   -3.9539e-16
 5.650115644518e-03   +2.235200980002e-10   -9.9632e-51   +8.5513e-88   +3.0284e-68   -2.9963e-15   -3.9682e-16
 5.655196305423e-03   +2.243251523206e-10   -1.0841e-50   +1.0078e-87   +3.4264e-68   -3.0071e-15   -3.9825e-16
 5.660281534927e-03   +2.251331062122e-10   -1.1795e-50   +1.1876e-87   +3.8763e-68   -3.0179e-15   -3.9968e-16
 5.665371337139e-03   +2.259439701185e-10   -1.2831e-50   +1.3993e-87   +4.3848e-68   -3.0288e-15   -4.0112e-16
 5.670465716170e-03   +2.267577545205e-10   -1.3958e-50   +1.6484e-87   +4.9595e-68   -3.0397e-15   -4.0257e-16
 5.675564676136e-03   +2.275744699371e-10   -1.5183e-50   +1.9417e-87   +5.6088e-68   -3.0507e-15   -4.0402e-16
 5.680668221156e-03   +2.283941269248e-10   -1.6514e-50   +2.2867e-87   +6.3425e-68   -3.0616e-15   -4.0547e-16
 5.685776355354e-03   +2.292167360783e-10   -1.7961e-50   +2.6927e-87   +7.1714e-68   -3.0727e-15   -4.0693e-16
 5.690889082855e-03   +2.300423080306e-10   -1.9533e-50   +3.1703e-87   +8.1077e-68   -3.0837e-15   -4.0840e-16
 5.696006407791e-03   +2.308708534526e-10   -2.1240e-50   +3.7320e-87   +9.1653e-68   -3.0949e-15   -4.0987e-16
 5.701128334295e-03   +2.317023830541e-10   -2.3096e-50   +4.3927e-87   +1.0360e-67   -3.1060e-15   -4.1134e-16
 5.706254866505e-03   +2.325369075831e-10   -2.5111e-50   +5.1696e-87   +1.1708e-67   -3.1172e-15   -4.1283e-16
 5.711386008562e-03   +2.333744378265e-10   -2.7301e-50   +6.0829e-87   +1.3231e-67   -3.1284e-15   -4.1431e-16
 5.716521764612e-03   +2.342149846100e-10   -2.9679e-50   +7.1567e-87   +1.4951e-67   -3.1397e-15   -4.1580e-16
 5.721662138804e-03   +2.350585587983e-10   -3.2263e-50   +8.4187e-87   +1.6892e-67   -3.1510e-15   -4.1730e-16
 5.726807135291e-03   +2.359051712953e-10   -3.5068e-50   +9.9019e-87   +1.9083e-67   -3.1623e-15   -4.1881e-16
 5.731956758228e-03   +2.367548330440e-10   -3.8115e-50   +1.1645e-86   +2.1555e-67   -3.1737e-15   -4.2031e-16
 5.737111011776e-03   +2.376075550270e-10   -4.1424e-50   +1.3692e-86   +2.4346e-67   -3.1852e-15   -4.2183e-16
 5.742269900099e-03   +2.384633482663e-10   -4.5016e-50   +1.6097e-86   +2.7495e-67   -3.1966e-15   -4.2335e-16
 5.747433427365e-03   +2.393222238237e-10   -4.8917e-50   +1.8923e-86   +3.1048e-67   -3.2081e-15   -4.2487e-16
 5.752601597745e-03   +2.401841928008e-10   -5.3151e-50   +2.2240e-86   +3.5056e-67   -3.2197e-15   -4.2640e-16
 5.757774415414e-03   +2.410492663392e-10   -5.7749e-50   +2.6136e-86   +3.9577e-67   -3.2313e-15   -4.2794e-16
 5.762951884551e-03   +2.419174556207e-10   -6.2739e-50   +3.0709e-86   +4.4676e-67   -3.2429e-15   -4.2948e-16
 5.768134009339e-03   +2.427887718672e-10   -6.8155e-50   +3.6078e-86   +5.0427e-67   -3.2546e-15   -4.3102e-16
 5.773320793964e-03   +2.436632263412e-10   -7.4034e-50   +4.2379e-86   +5.6913e-67   -3.2663e-15   -4.3258e-16
 5.778512242617e-03   +2.445408303456e-10   -8.0415e-50   +4.9774e-86   +6.4225e-67   -3.2781e-15   -4.3414e-16
 5.783708359490e-03   +2.454215952241e-10   -8.7339e-50   +5.8451e-86   +7.2470e-67   -3.2899e-15   -4.3570e-16
 5.788909148783e-03   +2.463055323614e-10   -9.4852e-50   +6.8630e-86   +8.1764e-67   -3.3018e-15   -4.3727e-16
 5.794114614696e-03   +2.471926531828e-10   -1.0301e-49   +8.0570e-86   +9.2240e-67   -3.3137e-15   -4.3884e-16
 5.799324761435e-03   +2.480829691552e-10   -1.1185e-49   +9.4575e-86   +1.0405e-66   -3.3256e-15   -4.4042e-16
 5.804539593209e-03   +2.489764917865e-10   -1.2145e-49   +1.1100e-85   +1.1735e-66   -3.3376e-15   -4.4201e-16
 5.809759114231e-03   +2.498732326262e-10   -1.3186e-49   +1.3025e-85   +1.3235e-66   -3.3496e-15   -4.4360e-16
 5.814983328717e-03   +2.507732032654e-10   -1.4315e-49   +1.5283e-85   +1.4924e-66   -3.3616e-15   -4.4520e-16
 5.820212240888e-03   +2.516764153367e-10   -1.5540e-49   +1.7929e-85   +1.6827e-66   -3.3738e-15   -4.4680e-16
 5.825445854967e-03   +2.525828805150e-10   -1.6868e-49   +2.1031e-85   +1.8971e-66   -3.3859e-15   -4.4841e-16
 5.830684175184e-03   +2.534926105170e-10   -1.8309e-49   +2.4665e-85   +2.1386e-66   -3.3981e-15   -4.5003e-16
 5.835927205770e-03   +2.544056171017e-10   -1.9871e-49   +2.8924e-85   +2.4105e-66   -3.4103e-15   -4.5165e-16
 5.841174950960e-03   +2.553219120702e-10   -2.1565e-49   +3.3912e-85   +2.7168e-66   -3.4226e-15   -4.5327e-16
 5.846427414994e-03   +2.562415072664e-10   -2.3402e-49   +3.9756e-85   +3.0616e-66   -3.4349e-15   -4.5491e-16
 5.851684602115e-03   +2.571644145769e-10   -2.5393e-49   +4.6600e-85   +3.4498e-66   -3.4473e-15   -4.5655e-16
 5.856946516571e-03   +2.580906459307e-10   -2.7553e-49   +5.4615e-85   +3.8869e-66   -3.4597e-15   -4.5819e-16
 5.862213162611e-03   +2.590202133003e-10   -2.9893e-49   +6.3999e-85   +4.3788e-66   -3.4722e-15   -4.5984e-16
 5.867484544492e-03   +2.599531287009e-10   -3.2430e-49   +7.4985e-85   +4.9325e-66   -3.4847e-15   -4.6150e-16
 5.872760666470e-03   +2.608894041912e-10   -3.5180e-49   +8.7845e-85   +5.5557e-66   -3.4973e-15   -4.6316e-16
 5.878041532810e-03   +2.618290518732e-10   -3.8161e-49   +1.0289e-84   +6.2568e-66   -3.5099e-15   -4.6483e-16
 5.883327147776e-03   +2.627720838926e-10   -4.1391e-49   +1.2051e-84   +7.0458e-66   -3.5225e-15   -4.6650e-16
 5.888617515639e-03   +2.637185124388e-10   -4.4891e-49   +1.4111e-84   +7.9334e-66   -3.5352e-15   -4.6818e-16
 5.893912640674e-03   +2.646683497451e-10   -4.8684e-49   +1.6522e-84   +8.9318e-66   -3.5479e-15   -4.6987e-16
 5.899212527156e-03   +2.656216080889e-10   -5.2793e-49   +1.9342e-84   +1.0055e-65   -3.5607e-15   -4.7156e-16
 5.904517179369e-03   +2.665782997917e-10   -5.7246e-49   +2.2640e-84   +1.1318e-65   -3.5735e-15   -4.7326e-16
 5.909826601597e-03   +2.675384372194e-10   -6.2070e-49   +2.6496e-84   +1.2738e-65   -3.5864e-15   -4.7496e-16
 5.915140798130e-03   +2.685020327827e-10   -6.7295e-49   +3.1006e-84   +1.4336e-65   -3.5993e-15   -4.7667e-16
 5.920459773261e-03   +2.694690989367e-10   -7.2956e-49   +3.6277e-84   +1.6131e-65   -3.6123e-15   -4.7839e-16
 5.925783531286e-03   +2.704396481814e-10   -7.9087e-49   +4.2439e-84   +1.8150e-65   -3.6253e-15   -4.8011e-16
 5.931112076507e-03   +2.714136930620e-10   -8.5727e-49   +4.9640e-84   +2.0419e-65   -3.6383e-15   -4.8184e-16
 5.936445413229e-03   +2.723912461686e-10   -9.2918e-49   +5.8056e-84   +2.2970e-65   -3.6514e-15   -4.8358e-16
 5.941783545760e-03   +2.733723201369e-10   -1.0071e-48   +6.7889e-84   +2.5837e-65   -3.6646e-15   -4.8532e-16
 5.947126478412e-03   +2.743569276481e-10   -1.0914e-48   +7.9375e-84   +2.9058e-65   -3.6778e-15   -4.8707e-16
 5.952474215502e-03   +2.753450814288e-10   -1.1827e-48   +9.2793e-84   +3.2678e-65   -3.6910e-15   -4.8882e-16
 5.957826761350e-03   +2.763367942518e-10   -1.2815e-48   +1.0846e-83   +3.6744e-65   -3.7043e-15   -4.9058e-16
 5.963184120280e-03   +2.773320789357e-10   -1.3886e-48   +1.2676e-83   +4.1312e-65   -3.7177e-15   -4.9235e-16
 5.968546296620e-03   +2.783309483452e-10   -1.5044e-48   +1.4813e-83   +4.6444e-65   -3.7311e-15   -4.9412e-16
 5.973913294702e-03   +2.793334153916e-10   -1.6298e-48   +1.7307e-83   +5.2208e-65   -3.7445e-15   -4.9590e-16
 5.979285118862e-03   +2.803394930324e-10   -1.7656e-48   +2.0219e-83   +5.8680e-65   -3.7580e-15   -4.9769e-16
 5.984661773439e-03   +2.813491942720e-10   -1.9125e-48   +2.3617e-83   +6.5948e-65   -3.7715e-15   -4.9948e-16
 5.990043262777e-03   +2.823625321615e-10   -2.0715e-48   +2.7583e-83   +7.4109e-65   -3.7851e-15   -5.0128e-16
 5.995429591224e-03   +2.833795197991e-10   -2.2435e-48   +3.2210e-83   +8.3271e-65   -3.7987e-15   -5.0309e-16
 6.000820763130e-03   +2.844001703301e-10   -2.4297e-48   +3.7608e-83   +9.3556e-65   -3.8124e-15   -5.0490e-16
 6.006216782852e-03   +2.854244969471e-10   -2.6312e-48   +4.3904e-83   +1.0510e-64   -3.8262e-15   -5.0672e-16
